,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
23,"Jun. 25, 2010",Arizona Coyotes Acquire:2010 1st round pick (MTL - #27 - Mark Visentin)2010 2nd round pick (MTL - #57 - Oscar Lindberg),Montreal Canadiens Acquire:2010 1st round pick (ARI - #22 - Jarred Tinordi)2010 4th round pick (BUF - #113 - Mark MacMillan),Arizona Coyotes ,2010 1st round pick (MTL - #27 - Mark Visentin)2010 2nd round pick (MTL - #57 - Oscar Lindberg),Montreal Canadiens ,2010 1st round pick (ARI - #22 - Jarred Tinordi)2010 4th round pick (BUF - #113 - Mark MacMillan)
24,"Jun. 25, 2010",Chicago Blackhawks Acquire:2010 2nd round pick (NYI - #35 - Ludvig Rensfeldt)2010 2nd round pick (SJS - #58 - Kent Simpson),New York Islanders Acquire:2010 1st round pick (NYI - #30 - Brock Nelson),Chicago Blackhawks ,2010 2nd round pick (NYI - #35 - Ludvig Rensfeldt)2010 2nd round pick (SJS - #58 - Kent Simpson),New York Islanders ,2010 1st round pick (NYI - #30 - Brock Nelson)
25,"Jun. 25, 2010",Florida Panthers Acquire:Steve BernierMichael Grabner2010 1st round pick (VAN - #25 - Quinton Howden),Vancouver Canucks Acquire:Keith BallardVictor Oreskovich,Florida Panthers ,Steve BernierMichael Grabner2010 1st round pick (VAN - #25 - Quinton Howden),Vancouver Canucks ,Keith BallardVictor Oreskovich
26,"Jun. 25, 2010",Ottawa Senators Acquire:David Rundblad,St. Louis Blues Acquire:2010 1st round pick (OTT - #16 - Vladimir Tarasenko),Ottawa Senators ,David Rundblad,St. Louis Blues ,2010 1st round pick (OTT - #16 - Vladimir Tarasenko)
27,"Jun. 25, 2010",Florida Panthers Acquire:2010 1st round pick (LAK - #19 - Nick Bjugstad)2010 2nd round pick (PHI - #59 - Jason Zucker),Los Angeles Kings Acquire:2010 1st round pick (BOS - #15 - Derek Forbort),Florida Panthers ,2010 1st round pick (LAK - #19 - Nick Bjugstad)2010 2nd round pick (PHI - #59 - Jason Zucker),Los Angeles Kings ,2010 1st round pick (BOS - #15 - Derek Forbort)
28,"Jun. 25, 2010",Philadelphia Flyers Acquire:2011 3rd round pick (PIT - #84 - Harrison Ruopp),Pittsburgh Penguins Acquire:Dan Hamhuis,Philadelphia Flyers ,2011 3rd round pick (PIT - #84 - Harrison Ruopp),Pittsburgh Penguins ,Dan Hamhuis
29,"Jun. 24, 2010",Chicago Blackhawks Acquire:2010 6th round pick (EDM - #151 - Mirko Hoefflin),Edmonton Oilers Acquire:Colin Fraser,Chicago Blackhawks ,2010 6th round pick (EDM - #151 - Mirko Hoefflin),Edmonton Oilers ,Colin Fraser
30,"Jun. 23, 2010",San Jose Sharks Acquire:Michael VernaceBrett Sterling2010 7th round pick (ATL - #188 - Lee Moffie),Atlanta Thrashers Acquire:Future Considerations,San Jose Sharks ,Michael VernaceBrett Sterling2010 7th round pick (ATL - #188 - Lee Moffie),Atlanta Thrashers ,Future Considerations
31,"Jun. 23, 2010",Chicago Blackhawks Acquire:Joey CrabbJeremy MorinMarty Reasoner2010 1st round pick (NJD - #24 - Kevin Hayes)2010 2nd round pick (NJD - #54 - Justin Holl),Atlanta Thrashers Acquire:Dustin ByfuglienBen EagerBrent SopelAkim Aliu,Chicago Blackhawks ,Joey CrabbJeremy MorinMarty Reasoner2010 1st round pick (NJD - #24 - Kevin Hayes)2010 2nd round pick (NJD - #54 - Justin Holl),Atlanta Thrashers ,Dustin ByfuglienBen EagerBrent SopelAkim Aliu
32,"Jun. 22, 2010",Boston Bruins Acquire:Nathan HortonGregory Campbell,Florida Panthers Acquire:Dennis Wideman2011 3rd round pick (BOS - #91 - Kyle Rau)2010 1st round pick (BOS - #15 - Derek Forbort),Boston Bruins ,Nathan HortonGregory Campbell,Florida Panthers ,Dennis Wideman2011 3rd round pick (BOS - #91 - Kyle Rau)2010 1st round pick (BOS - #15 - Derek Forbort)
33,"Jun. 21, 2010",Minnesota Wild Acquire:Brad Staubitz,San Jose Sharks Acquire:2010 5th round pick (MIN - #129 - Freddie Hamilton),Minnesota Wild ,Brad Staubitz,San Jose Sharks ,2010 5th round pick (MIN - #129 - Freddie Hamilton)
34,"Jun. 19, 2010",Nashville Predators Acquire:Ryan Parent,Philadelphia Flyers Acquire:Dan Hamhuis2011 7th round pick (NSH - #202 - Brent Andrews) [Conditional]**Conditions: Details Unknown Result: Conditions not met,Nashville Predators ,Ryan Parent,Philadelphia Flyers ,Dan Hamhuis2011 7th round pick (NSH - #202 - Brent Andrews) [Conditional]**Conditions: Details Unknown Result: Conditions not met
35,"Jun. 19, 2010",Nashville Predators Acquire:Matt Halischuk2011 2nd round pick (NJD - #38 - Magnus Hellberg),New Jersey Devils Acquire:Jason Arnott,Nashville Predators ,Matt Halischuk2011 2nd round pick (NJD - #38 - Magnus Hellberg),New Jersey Devils ,Jason Arnott
36,"Jun. 17, 2010",Colorado Avalanche Acquire:Julian Talbot,St. Louis Blues Acquire:T.J. Hensick,Colorado Avalanche ,Julian Talbot,St. Louis Blues ,T.J. Hensick
37,"Jun. 17, 2010",Montreal Canadiens Acquire:Lars EllerIan Schultz,St. Louis Blues Acquire:Jaroslav Halák,Montreal Canadiens ,Lars EllerIan Schultz,St. Louis Blues ,Jaroslav Halák
38,28-May-10,Anaheim Ducks Acquire:2010 6th round pick (MTL - #177 - Kevin Lind),Pittsburgh Penguins Acquire:Mattias Modig,Anaheim Ducks ,2010 6th round pick (MTL - #177 - Kevin Lind),Pittsburgh Penguins ,Mattias Modig
39,25-May-10,New York Islanders Acquire:2010 6th round pick (NYR - #160 - Tanner Lane),New York Rangers Acquire:Jyri Niemi,New York Islanders ,2010 6th round pick (NYR - #160 - Tanner Lane),New York Rangers ,Jyri Niemi
40,13-May-10,Arizona Coyotes Acquire:2010 5th round pick (NSH - #138 - Louis Domingue),Carolina Hurricanes Acquire:Jared Staal,Arizona Coyotes ,2010 5th round pick (NSH - #138 - Louis Domingue),Carolina Hurricanes ,Jared Staal
41,"Mar. 3, 2010",St. Louis Blues Acquire:Pierre-Cédric Labrie,Vancouver Canucks Acquire:Yan Stastny,St. Louis Blues ,Pierre-Cédric Labrie,Vancouver Canucks ,Yan Stastny
42,"Mar. 3, 2010",Columbus Blue Jackets Acquire:2010 6th round pick (WSH - #176 - Samuel Carrier) [Conditional]**Conditions: Details Unknown Results: Conditions not met,Washington Capitals Acquire:Milan Jurcina,Columbus Blue Jackets ,2010 6th round pick (WSH - #176 - Samuel Carrier) [Conditional]**Conditions: Details Unknown Results: Conditions not met,Washington Capitals ,Milan Jurcina
43,"Mar. 3, 2010",Arizona Coyotes Acquire:Alexandre Picard,Columbus Blue Jackets Acquire:Chad Kolarik,Arizona Coyotes ,Alexandre Picard,Columbus Blue Jackets ,Chad Kolarik
44,"Mar. 3, 2010",Arizona Coyotes Acquire:Wojtek Wolski,Colorado Avalanche Acquire:Kevin PorterPeter Mueller,Arizona Coyotes ,Wojtek Wolski,Colorado Avalanche ,Kevin PorterPeter Mueller
45,"Mar. 3, 2010",Anaheim Ducks Acquire:Curtis McElhinney,Calgary Flames Acquire:Vesa Toskala,Anaheim Ducks ,Curtis McElhinney,Calgary Flames ,Vesa Toskala
46,"Mar. 3, 2010",Columbus Blue Jackets Acquire:2010 7th round pick (LAK - #199 - Peter Stoykewych) [Conditional]**Conditions: Details Unknown Result: Details not met,Los Angeles Kings Acquire:Freddy Modin,Columbus Blue Jackets ,2010 7th round pick (LAK - #199 - Peter Stoykewych) [Conditional]**Conditions: Details Unknown Result: Details not met,Los Angeles Kings ,Freddy Modin
47,"Mar. 3, 2010",Calgary Flames Acquire:Steve Staios,Edmonton Oilers Acquire:Aaron Johnson2011 3rd round pick (CGY - #74 - Travis Ewanyk),Calgary Flames ,Steve Staios,Edmonton Oilers ,Aaron Johnson2011 3rd round pick (CGY - #74 - Travis Ewanyk)
48,"Mar. 3, 2010",Columbus Blue Jackets Acquire:Matt Rust,Florida Panthers Acquire:Mathieu Roy,Columbus Blue Jackets ,Matt Rust,Florida Panthers ,Mathieu Roy
49,"Mar. 3, 2010",Detroit Red Wings Acquire:Jordan Owens,New York Rangers Acquire:Kris Newbury,Detroit Red Wings ,Jordan Owens,New York Rangers ,Kris Newbury
50,"Mar. 3, 2010",Calgary Flames Acquire:Andy Delmore,Detroit Red Wings Acquire:Riley Armstrong,Calgary Flames ,Andy Delmore,Detroit Red Wings ,Riley Armstrong
51,"Mar. 3, 2010",Carolina Hurricanes Acquire:2010 7th round pick (WSH - #206 - Ricard Blidstrand),Washington Capitals Acquire:Scott Walker,Carolina Hurricanes ,2010 7th round pick (WSH - #206 - Ricard Blidstrand),Washington Capitals ,Scott Walker
52,"Mar. 3, 2010",Arizona Coyotes Acquire:Lee Stempniak,Toronto Maple Leafs Acquire:Matt Jones2010 4th round pick (ARI - #112 - Philipp Grubauer)2010 7th round pick (ARI - #202 - Kellen Jones),Arizona Coyotes ,Lee Stempniak,Toronto Maple Leafs ,Matt Jones2010 4th round pick (ARI - #112 - Philipp Grubauer)2010 7th round pick (ARI - #202 - Kellen Jones)
53,"Mar. 3, 2010",Pittsburgh Penguins Acquire:2010 6th round pick (TOR - #152 - Joe Rogalski),Toronto Maple Leafs Acquire:Chris Peluso,Pittsburgh Penguins ,2010 6th round pick (TOR - #152 - Joe Rogalski),Toronto Maple Leafs ,Chris Peluso
54,"Mar. 3, 2010",Carolina Hurricanes Acquire:Cédric McNicoll2010 6th round pick (COL - #167 - Tyler Stahl),Colorado Avalanche Acquire:Stephane YelleHarrison Reed,Carolina Hurricanes ,Cédric McNicoll2010 6th round pick (COL - #167 - Tyler Stahl),Colorado Avalanche ,Stephane YelleHarrison Reed
55,"Mar. 3, 2010",Arizona Coyotes Acquire:Mathieu Schneider,Vancouver Canucks Acquire:Sean Zimmerman2010 6th round pick (ARI - #172 - Alex Friesen),Arizona Coyotes ,Mathieu Schneider,Vancouver Canucks ,Sean Zimmerman2010 6th round pick (ARI - #172 - Alex Friesen)
56,"Mar. 3, 2010",Anaheim Ducks Acquire:Lubomir Visnovsky,Edmonton Oilers Acquire:Ryan Whitney2010 6th round pick (ANA - #162 - Brandon Davidson),Anaheim Ducks ,Lubomir Visnovsky,Edmonton Oilers ,Ryan Whitney2010 6th round pick (ANA - #162 - Brandon Davidson)
57,"Mar. 3, 2010",New Jersey Devils Acquire:Martin Skoula,Toronto Maple Leafs Acquire:2010 5th round pick (NJD - #144 - Sam Carrick),New Jersey Devils ,Martin Skoula,Toronto Maple Leafs ,2010 5th round pick (NJD - #144 - Sam Carrick)
58,"Mar. 3, 2010",Calgary Flames Acquire:2010 4th round pick (NSH - #108 - Bill Arnold),Nashville Predators Acquire:Dustin Boyd,Calgary Flames ,2010 4th round pick (NSH - #108 - Bill Arnold),Nashville Predators ,Dustin Boyd
59,"Mar. 3, 2010",Anaheim Ducks Acquire:Aaron Ward,Carolina Hurricanes Acquire:Justin Pogge2010 4th round pick (BOS - #105 - Justin Shugg),Anaheim Ducks ,Aaron Ward,Carolina Hurricanes ,Justin Pogge2010 4th round pick (BOS - #105 - Justin Shugg)
60,"Mar. 3, 2010",Buffalo Sabres Acquire:2010 3rd round pick (ATL - #68 - Jerome Leduc)2010 4th round pick (ATL - #98 - Steven Shipley),Atlanta Thrashers Acquire:Clarke MacArthur,Buffalo Sabres ,2010 3rd round pick (ATL - #68 - Jerome Leduc)2010 4th round pick (ATL - #98 - Steven Shipley),Atlanta Thrashers ,Clarke MacArthur
61,"Mar. 3, 2010",Carolina Hurricanes Acquire:2010 3rd round pick (VAN - #85 - Austin Levi),Vancouver Canucks Acquire:Andrew Alberts,Carolina Hurricanes ,2010 3rd round pick (VAN - #85 - Austin Levi),Vancouver Canucks ,Andrew Alberts
62,"Mar. 3, 2010",Los Angeles Kings Acquire:Jeff Halpern,Tampa Bay Lightning Acquire:Teddy Purcell2010 3rd round pick (FLA - #63 - Brock Beukeboom),Los Angeles Kings ,Jeff Halpern,Tampa Bay Lightning ,Teddy Purcell2010 3rd round pick (FLA - #63 - Brock Beukeboom)
63,"Mar. 3, 2010",Minnesota Wild Acquire:2010 2nd round pick (WSH - #56 - Johan Larsson),Washington Capitals Acquire:Eric Belanger,Minnesota Wild ,2010 2nd round pick (WSH - #56 - Johan Larsson),Washington Capitals ,Eric Belanger
64,"Mar. 3, 2010",Buffalo Sabres Acquire:Raffi Torres,Columbus Blue Jackets Acquire:Nathan Paetsch2010 2nd round pick (VAN - #55 - Petr Straka),Buffalo Sabres ,Raffi Torres,Columbus Blue Jackets ,Nathan Paetsch2010 2nd round pick (VAN - #55 - Petr Straka)
65,"Mar. 3, 2010",Boston Bruins Acquire:Matt BartkowskiDennis Seidenberg,Florida Panthers Acquire:Craig WellerByron Bitz2010 2nd round pick (TBL - #36 - Alex Petrovic),Boston Bruins ,Matt BartkowskiDennis Seidenberg,Florida Panthers ,Craig WellerByron Bitz2010 2nd round pick (TBL - #36 - Alex Petrovic)
66,"Mar. 3, 2010",Arizona Coyotes Acquire:Miika Wiikman2011 7th round pick (NYR - #196 - Zac Larraza),New York Rangers Acquire:Anders Eriksson,Arizona Coyotes ,Miika Wiikman2011 7th round pick (NYR - #196 - Zac Larraza),New York Rangers ,Anders Eriksson
67,"Mar. 3, 2010",Anaheim Ducks Acquire:Joey MacDonald,Toronto Maple Leafs Acquire:2011 7th round pick (ANA - #203 - Max Everson),Anaheim Ducks ,Joey MacDonald,Toronto Maple Leafs ,2011 7th round pick (ANA - #203 - Max Everson)
68,"Mar. 3, 2010",Anaheim Ducks Acquire:2011 6th round pick (ARI - #171 - Max McCormick),Arizona Coyotes Acquire:Petteri Nokelainen,Anaheim Ducks ,2011 6th round pick (ARI - #171 - Max McCormick),Arizona Coyotes ,Petteri Nokelainen
69,"Mar. 3, 2010",Arizona Coyotes Acquire:Derek Morris,Boston Bruins Acquire:2011 3rd round pick (ARI - #81 - Anthony Camara),Arizona Coyotes ,Derek Morris,Boston Bruins ,2011 3rd round pick (ARI - #81 - Anthony Camara)
70,"Mar. 3, 2010",Carolina Hurricanes Acquire:Brian PothierOskar Osala2011 2nd round pick (WSH - #57 - Tyler Wotherspoon),Washington Capitals Acquire:Joe Corvo,Carolina Hurricanes ,Brian PothierOskar Osala2011 2nd round pick (WSH - #57 - Tyler Wotherspoon),Washington Capitals ,Joe Corvo
71,"Mar. 2, 2010",Montreal Canadiens Acquire:Aaron Palushaj,St. Louis Blues Acquire:Matt D'Agostini,Montreal Canadiens ,Aaron Palushaj,St. Louis Blues ,Matt D'Agostini
72,"Mar. 2, 2010",Anaheim Ducks Acquire:Future Considerations,Chicago Blackhawks Acquire:Nick Boynton,Anaheim Ducks ,Future Considerations,Chicago Blackhawks ,Nick Boynton
73,"Mar. 2, 2010",Pittsburgh Penguins Acquire:Alexei Ponikarovsky,Toronto Maple Leafs Acquire:Martin SkoulaLuca Caputi,Pittsburgh Penguins ,Alexei Ponikarovsky,Toronto Maple Leafs ,Martin SkoulaLuca Caputi
74,"Mar. 2, 2010",New York Islanders Acquire:Future Considerations,San Jose Sharks Acquire:Brett Westgarth,New York Islanders ,Future Considerations,San Jose Sharks ,Brett Westgarth
75,"Mar. 2, 2010",Anaheim Ducks Acquire:2010 4th round pick (BOS - #105 - Justin Shugg),Boston Bruins Acquire:Steven Kampfer,Anaheim Ducks ,2010 4th round pick (BOS - #105 - Justin Shugg),Boston Bruins ,Steven Kampfer
76,"Mar. 2, 2010",New York Islanders Acquire:2010 2nd round pick (SJS - #58 - Kent Simpson),Ottawa Senators Acquire:Andy Sutton,New York Islanders ,2010 2nd round pick (SJS - #58 - Kent Simpson),Ottawa Senators ,Andy Sutton
77,"Mar. 1, 2010",Chicago Blackhawks Acquire:Danny RichmondHannu Toivonen,St. Louis Blues Acquire:Joe FallonDaryl Boyle,Chicago Blackhawks ,Danny RichmondHannu Toivonen,St. Louis Blues ,Joe FallonDaryl Boyle
78,"Mar. 1, 2010",Columbus Blue Jackets Acquire:Greg Moore,New York Islanders Acquire:Dylan Reese,Columbus Blue Jackets ,Greg Moore,New York Islanders ,Dylan Reese
79,"Mar. 1, 2010",Anaheim Ducks Acquire:Nathan Oystrick,Atlanta Thrashers Acquire:Evgeny Artyukhin,Anaheim Ducks ,Nathan Oystrick,Atlanta Thrashers ,Evgeny Artyukhin
80,"Mar. 1, 2010",Florida Panthers Acquire:2010 2nd round pick (PIT - #50 - Connor Brickley),Pittsburgh Penguins Acquire:Jordan Leopold,Florida Panthers ,2010 2nd round pick (PIT - #50 - Connor Brickley),Pittsburgh Penguins ,Jordan Leopold
81,"Mar. 1, 2010",Edmonton Oilers Acquire:2010 2nd round pick (NSH - #48 - Curtis Hamilton),Nashville Predators Acquire:Denis Grebeshkov,Edmonton Oilers ,2010 2nd round pick (NSH - #48 - Curtis Hamilton),Nashville Predators ,Denis Grebeshkov
82,"Feb. 12, 2010",Chicago Blackhawks Acquire:Nick LeddyKim Johnsson,Minnesota Wild Acquire:Cam Barker,Chicago Blackhawks ,Nick LeddyKim Johnsson,Minnesota Wild ,Cam Barker
83,"Feb. 12, 2010",Carolina Hurricanes Acquire:Alexandre Picard2010 2nd round pick (OTT - #46 - Martin Marincin),Ottawa Senators Acquire:Matt Cullen,Carolina Hurricanes ,Alexandre Picard2010 2nd round pick (OTT - #46 - Martin Marincin),Ottawa Senators ,Matt Cullen
84,"Feb. 12, 2010",New York Rangers Acquire:Jody Shelley,San Jose Sharks Acquire:2011 6th round pick (NYR - #166 - Daniil Sobchenko),New York Rangers ,Jody Shelley,San Jose Sharks ,2011 6th round pick (NYR - #166 - Daniil Sobchenko)
85,"Feb. 11, 2010",Pittsburgh Penguins Acquire:Steve Wagner,St. Louis Blues Acquire:Nate Guenin,Pittsburgh Penguins ,Steve Wagner,St. Louis Blues ,Nate Guenin
86,"Feb. 11, 2010",Florida Panthers Acquire:2011 2nd round pick (MTL - #47 - Matt Nieto),Montreal Canadiens Acquire:Dominic Moore,Florida Panthers ,2011 2nd round pick (MTL - #47 - Matt Nieto),Montreal Canadiens ,Dominic Moore
87,"Feb. 9, 2010",Dallas Stars Acquire:Kari Lehtonen,Atlanta Thrashers Acquire:Ivan Vishnevskiy2010 4th round pick (DAL - #101 - Ivan Telegin),Dallas Stars ,Kari Lehtonen,Atlanta Thrashers ,Ivan Vishnevskiy2010 4th round pick (DAL - #101 - Ivan Telegin)
88,"Feb. 7, 2010",Carolina Hurricanes Acquire:2010 2nd round pick (BUF - #53 - Mark Alt),San Jose Sharks Acquire:Niclas Wallin2010 5th round pick (CAR - #127 - Cody Ferriero),Carolina Hurricanes ,2010 2nd round pick (BUF - #53 - Mark Alt),San Jose Sharks ,Niclas Wallin2010 5th round pick (CAR - #127 - Cody Ferriero)
89,"Feb. 6, 2010",Detroit Red Wings Acquire:Ole-Kristian Tollefsen2011 5th round pick (PHI - #146 - Mattias Backman),Philadelphia Flyers Acquire:Ville Leino,Detroit Red Wings ,Ole-Kristian Tollefsen2011 5th round pick (PHI - #146 - Mattias Backman),Philadelphia Flyers ,Ville Leino
90,"Feb. 4, 2010",New Jersey Devils Acquire:Ilya KovalchukAnssi Salmela2010 2nd round pick (ATL - #38 - Jon Merrill),Atlanta Thrashers Acquire:Patrice CormierJohnny OduyaNiclas Bergfors2010 1st round pick (NJD - #24 - Kevin Hayes)2010 2nd round pick (NJD - #54 - Justin Holl),New Jersey Devils ,Ilya KovalchukAnssi Salmela2010 2nd round pick (ATL - #38 - Jon Merrill),Atlanta Thrashers ,Patrice CormierJohnny OduyaNiclas Bergfors2010 1st round pick (NJD - #24 - Kevin Hayes)2010 2nd round pick (NJD - #54 - Justin Holl)
91,"Feb. 2, 2010",Boston Bruins Acquire:Cody Wild,Edmonton Oilers Acquire:Matt Marquardt,Boston Bruins ,Cody Wild,Edmonton Oilers ,Matt Marquardt
92,"Feb. 2, 2010",Calgary Flames Acquire:Chris HigginsAles Kotalik,New York Rangers Acquire:Olli JokinenBrandon Prust,Calgary Flames ,Chris HigginsAles Kotalik,New York Rangers ,Olli JokinenBrandon Prust
