,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,x_receieved,Team_y,y_receieved
85,"Jul. 28, 2021","Ottawa Senators Acquire:Nick Holden · $575,000$1,700,000$1,400,000 (AHL/JR)2022 3rd round pick (VAN - #80 - Elias Pettersson)Sum: $575,000$1,700,000$1,400,000Change: -$4,425,000Change: -$3,300,000Change: -$3,600,000","Vegas Golden Knights Acquire:Evgeni Dadonov · $5,000,000$5,000,000$5,000,000Sum: $5,000,000$5,000,000$5,000,000Change: +$4,425,000Change: +$3,300,000Change: +$3,600,000",Ottawa Senators ,"Nick Holden · $575,000$1,700,000$1,400,000 (AHL/JR)2022 3rd round pick (VAN - #80 - Elias Pettersson)Sum: $575,000$1,700,000$1,400,000Change: -$4,425,000Change: -$3,300,000Change: -$3,600,000",Vegas Golden Knights ,"Evgeni Dadonov · $5,000,000$5,000,000$5,000,000Sum: $5,000,000$5,000,000$5,000,000Change: +$4,425,000Change: +$3,300,000Change: +$3,600,000"
86,"Jul. 28, 2021","Carolina Hurricanes Acquire:Ethan Bear · $2,000,000$2,000,000$2,500,000Sum: $2,000,000$2,000,000$2,500,000Change: +$2,000,000Change: +$2,000,000Change: +$2,500,000","Edmonton Oilers Acquire:Warren Foegele · $0$0$0 (Signing Rights)Sum: $0$0$0Change: -$2,000,000Change: -$2,000,000Change: -$2,500,000",Carolina Hurricanes ,"Ethan Bear · $2,000,000$2,000,000$2,500,000Sum: $2,000,000$2,000,000$2,500,000Change: +$2,000,000Change: +$2,000,000Change: +$2,500,000",Edmonton Oilers ,"Warren Foegele · $0$0$0 (Signing Rights)Sum: $0$0$0Change: -$2,000,000Change: -$2,000,000Change: -$2,500,000"
87,"Jul. 28, 2021","Minnesota Wild Acquire:2022 7th round pick (TOR - #218 - Brandon Lisowsky) [Conditional]**Conditions: Minnesota will receive the 2022 7th round pick if Menell plays 30 games for the Leafs in 2021-22. Result: Condition not met, Leafs retain the 2022 7th round pick.Sum: $0$0$0Change: $0Change: $0Change: $0",Toronto Maple Leafs Acquire:Brennan Menell · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Minnesota Wild ,"2022 7th round pick (TOR - #218 - Brandon Lisowsky) [Conditional]**Conditions: Minnesota will receive the 2022 7th round pick if Menell plays 30 games for the Leafs in 2021-22. Result: Condition not met, Leafs retain the 2022 7th round pick.Sum: $0$0$0Change: $0Change: $0Change: $0",Toronto Maple Leafs ,Brennan Menell · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0
88,"Jul. 28, 2021",Calgary Flames Acquire:Nikita Zadorov · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks Acquire:2022 3rd round pick (TOR - #90 - Aidan Thompson)Sum: $0$0$0Change: $0Change: $0Change: $0,Calgary Flames ,Nikita Zadorov · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Chicago Blackhawks ,2022 3rd round pick (TOR - #90 - Aidan Thompson)Sum: $0$0$0Change: $0Change: $0Change: $0
89,"Jul. 27, 2021","Chicago Blackhawks Acquire:Tyler Johnson · $5,000,000$5,000,000$5,500,0002023 2nd round pick (TBL - #51 - Carson Bjarnason)Sum: $5,000,000$5,000,000$5,500,000Change: -$1,875,000Change: -$1,875,000Change: -$500,000","Tampa Bay Lightning Acquire:Brent Seabrook · $6,875,000$6,875,000$6,000,000Sum: $6,875,000$6,875,000$6,000,000Change: +$1,875,000Change: +$1,875,000Change: +$500,000",Chicago Blackhawks ,"Tyler Johnson · $5,000,000$5,000,000$5,500,0002023 2nd round pick (TBL - #51 - Carson Bjarnason)Sum: $5,000,000$5,000,000$5,500,000Change: -$1,875,000Change: -$1,875,000Change: -$500,000",Tampa Bay Lightning ,"Brent Seabrook · $6,875,000$6,875,000$6,000,000Sum: $6,875,000$6,875,000$6,000,000Change: +$1,875,000Change: +$1,875,000Change: +$500,000"
90,"Jul. 27, 2021","Vancouver Canucks Acquire:2022 3rd round pick (WPG - #79 - Jordan Gustafson)Sum: $0$0$0Change: -$5,950,000Change: -$5,950,000Change: -$6,000,000","Winnipeg Jets Acquire:Nate Schmidt · $5,950,000$5,950,000$6,000,000Sum: $5,950,000$5,950,000$6,000,000Change: +$5,950,000Change: +$5,950,000Change: +$6,000,000",Vancouver Canucks ,"2022 3rd round pick (WPG - #79 - Jordan Gustafson)Sum: $0$0$0Change: -$5,950,000Change: -$5,950,000Change: -$6,000,000",Winnipeg Jets ,"Nate Schmidt · $5,950,000$5,950,000$6,000,000Sum: $5,950,000$5,950,000$6,000,000Change: +$5,950,000Change: +$5,950,000Change: +$6,000,000"
91,"Jul. 27, 2021","Colorado Avalanche Acquire:Kurtis MacDermid · $875,000$875,000$900,000Sum: $875,000$875,000$900,000Change: +$875,000Change: +$875,000Change: +$900,000","Seattle Kraken Acquire:2023 4th round pick (COL - #123 - Luca Cagnoni)Sum: $0$0$0Change: -$875,000Change: -$875,000Change: -$900,000",Colorado Avalanche ,"Kurtis MacDermid · $875,000$875,000$900,000Sum: $875,000$875,000$900,000Change: +$875,000Change: +$875,000Change: +$900,000",Seattle Kraken ,"2023 4th round pick (COL - #123 - Luca Cagnoni)Sum: $0$0$0Change: -$875,000Change: -$875,000Change: -$900,000"
92,"Jul. 27, 2021","Chicago Blackhawks Acquire:Marc-André Fleury · $7,000,000$7,000,000$6,000,000Sum: $7,000,000$7,000,000$6,000,000Change: +$7,000,000Change: +$6,174,167Change: +$5,930,000","Vegas Golden Knights Acquire:Mikael Hakkarainen · $0$825,833$70,000 (AHL/JR)Sum: $0$825,833$70,000Change: -$7,000,000Change: -$6,174,167Change: -$5,930,000",Chicago Blackhawks ,"Marc-André Fleury · $7,000,000$7,000,000$6,000,000Sum: $7,000,000$7,000,000$6,000,000Change: +$7,000,000Change: +$6,174,167Change: +$5,930,000",Vegas Golden Knights ,"Mikael Hakkarainen · $0$825,833$70,000 (AHL/JR)Sum: $0$825,833$70,000Change: -$7,000,000Change: -$6,174,167Change: -$5,930,000"
93,"Jul. 26, 2021","Washington Capitals Acquire:2022 2nd round pick (WPG - #46 - Seamus Casey)2023 2nd round pick (WPG - #50 - Carson Rehkopf)Sum: $0$0$0Change: -$3,900,000Change: -$3,900,000Change: -$3,100,000","Winnipeg Jets Acquire:Brenden Dillon · $3,900,000$3,900,000$3,100,000Sum: $3,900,000$3,900,000$3,100,000Change: +$3,900,000Change: +$3,900,000Change: +$3,100,000",Washington Capitals ,"2022 2nd round pick (WPG - #46 - Seamus Casey)2023 2nd round pick (WPG - #50 - Carson Rehkopf)Sum: $0$0$0Change: -$3,900,000Change: -$3,900,000Change: -$3,100,000",Winnipeg Jets ,"Brenden Dillon · $3,900,000$3,900,000$3,100,000Sum: $3,900,000$3,900,000$3,100,000Change: +$3,900,000Change: +$3,900,000Change: +$3,100,000"
94,"Jul. 26, 2021","Arizona Coyotes Acquire:Anton Strålman · $5,500,000$5,500,000$5,500,000Vladislav Kolyachonok · $0$789,167$70,000 (AHL/JR)2024 2nd round pick (FLA - #65)Sum: $5,500,000$6,289,167$5,570,000Change: +$5,500,000Change: +$6,289,167Change: +$5,570,000","Florida Panthers Acquire:2023 7th round pick (ARI - #198 - Stepan Zvyagin)Sum: $0$0$0Change: -$5,500,000Change: -$6,289,167Change: -$5,570,000",Arizona Coyotes ,"Anton Strålman · $5,500,000$5,500,000$5,500,000Vladislav Kolyachonok · $0$789,167$70,000 (AHL/JR)2024 2nd round pick (FLA - #65)Sum: $5,500,000$6,289,167$5,570,000Change: +$5,500,000Change: +$6,289,167Change: +$5,570,000",Florida Panthers ,"2023 7th round pick (ARI - #198 - Stepan Zvyagin)Sum: $0$0$0Change: -$5,500,000Change: -$6,289,167Change: -$5,570,000"
