,#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
521,522,"Leason, Brett",RW,22,ELC,RFA,"$842,500 ",36,45,3,3,6,8:57,"$18,722 ","$280,833 ","$280,833 ","$140,416 ","$2,614 "
522,523,"Maccelli, Matias",LW,21,ELC,RFA,"$853,333 ",23,21,1,5,6,14:11,"$40,634 ","$853,333 ","$170,666 ","$142,222 ","$2,615 "
523,524,"Borgström, Henrik",C,24,Stnd,RFA,"$1,000,000 ",52,41,4,3,7,10:31,"$24,390 ","$250,000 ","$333,333 ","$142,857 ","$1,828 "
524,525,"Johnston, Ross",LW,27,Stnd,UFA,"$1,000,000 ",32,9,2,5,7,10:16,"$111,111 ","$500,000 ","$200,000 ","$142,857 ","$3,043 "
525,526,"Bear, Ethan",RD,24,Stnd,RFA,"$2,000,000 ",58,97,5,9,14,16:04,"$20,618 ","$400,000 ","$222,222 ","$142,857 ","$2,146 "
526,527,"Skinner, Jeff","LW, RW",29,Stnd,UFA,"$9,000,000 ",80,262,33,30,63,17:06,"$34,351 ","$272,727 ","$300,000 ","$142,857 ","$6,578 "
527,528,"Couture, Logan",C,32,Stnd,UFA,"$8,000,000 ",77,199,23,33,56,18:55,"$40,201 ","$347,826 ","$242,424 ","$142,857 ","$5,492 "
528,529,"Pesce, Brett",RD,27,Stnd,UFA,"$4,025,000 ",70,148,7,21,28,21:42,"$27,195 ","$575,000 ","$191,666 ","$143,750 ","$2,649 "
529,530,"Merkley, Ryan",RD,21,ELC,UFA,"$863,333 ",39,36,1,5,6,15:22,"$23,981 ","$863,333 ","$172,666 ","$143,888 ","$1,440 "
530,531,"Tavares, John","C, LW",31,Stnd,UFA,"$11,000,000 ",79,237,27,49,76,18:04,"$46,413 ","$407,407 ","$224,489 ","$144,736 ","$7,707 "
531,532,"Friedman, Mark",LD/RD,26,Stnd,UFA,"$725,000 ",26,27,1,4,5,13:16,"$26,851 ","$725,000 ","$181,250 ","$145,000 ","$2,101 "
532,533,"Lagesson, William",LD/RD,25,Stnd,UFA,"$725,000 ",33,33,0,5,5,12:34,"$21,969 ",∞,"$145,000 ","$145,000 ","$1,748 "
533,534,"Orlov, Dmitry",LD,30,Stnd,UFA,"$5,100,000 ",76,127,12,23,35,20:57,"$40,157 ","$425,000 ","$221,739 ","$145,714 ","$3,203 "
534,535,"Johnson, Reese","RW, C",23,ELC,RFA,"$880,833 ",37,24,1,5,6,10:37,"$36,701 ","$880,833 ","$176,166 ","$146,805 ","$2,242 "
535,536,"Burns, Brent",RD,36,Stnd,UFA,"$8,000,000 ",82,203,10,44,54,26:08:00,"$39,408 ","$800,000 ","$181,818 ","$148,148 ","$3,733 "
536,537,"Coleman, Blake","RW, LW",30,Stnd,UFA,"$4,900,000 ",81,212,16,17,33,14:49,"$23,113 ","$306,250 ","$288,235 ","$148,484 ","$4,082 "
537,538,"Vaakanainen, Urho",LD/RD,22,ELC,RFA,"$894,167 ",29,27,0,6,6,19:19,"$33,117 ",∞,"$149,027 ","$149,027 ","$1,596 "
538,539,"Kopitar, Anze",C,34,Stnd,UFA,"$10,000,000 ",81,210,19,48,67,20:46,"$47,619 ","$526,315 ","$208,333 ","$149,253 ","$5,944 "
539,540,"Caggiula, Drake","LW, RW",27,Stnd,UFA,"$750,000 ",18,23,2,3,5,14:38,"$32,608 ","$375,000 ","$250,000 ","$150,000 ","$2,847 "
540,541,"Sceviour, Colton","RW, C",32,Stnd,UFA,"$750,000 ",35,38,2,3,5,9:28,"$19,736 ","$375,000 ","$250,000 ","$150,000 ","$2,263 "
541,542,"Perlini, Brendan","RW, LW",25,Stnd,UFA,"$750,000 ",23,24,4,1,5,8:22,"$31,250 ","$187,500 ","$750,000 ","$150,000 ","$3,897 "
542,543,"Jankowski, Mark","C, LW",27,Stnd,UFA,"$750,000 ",19,14,2,3,5,13:38,"$53,571 ","$375,000 ","$250,000 ","$150,000 ","$2,895 "
543,544,"Burroughs, Kyle",LD/RD,26,Stnd,UFA,"$750,000 ",42,39,1,4,5,12:56,"$19,230 ","$750,000 ","$187,500 ","$150,000 ","$1,380 "
544,545,"McKegg, Greg","C, LW",29,Stnd,UFA,"$750,000 ",43,25,2,3,5,10:52,"$30,000 ","$375,000 ","$249,999 ","$150,000 ","$1,605 "
545,546,"Viel, Jeffrey",LW,24,Stnd,UFA,"$750,000 ",34,30,3,2,5,8:48,"$25,000 ","$250,000 ","$375,000 ","$150,000 ","$2,506 "
546,547,"Tatar, Tomas","LW, RW",31,Stnd,UFA,"$4,500,000 ",76,132,15,15,30,14:49,"$34,090 ","$300,000 ","$300,000 ","$150,000 ","$3,996 "
