,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
25,26,"Stolarz, Anthony",29,Stnd,UFA,"$1,100,000 ",27,1506,684,633,0.925,2.03,"$40,740 ",$730 ,"$1,737 "
26,27,"Skinner, Stuart",25,Stnd,UFA,"$2,600,000 ",59,3361,1553,1406,0.905,2.62,"$44,067 ",$773 ,"$1,849 "
27,28,"Blackwood, Mackenzie",27,Stnd,UFA,"$2,350,000 ",44,2437,1383,1243,0.899,3.45,"$53,409 ",$964 ,"$1,890 "
28,29,"Wolf, Dustin",22,ELC,RFA,"$813,333 ",17,950,467,417,0.893,3.16,"$47,843 ",$856 ,"$1,950 "
29,30,"Annunen, Justus",23,Stnd,RFA,"$775,000 ",14,801,414,384,0.928,2.25,"$55,357 ",$967 ,"$2,018 "
30,31,"Schmid, Akira",23,ELC,RFA,"$850,833 ",19,914,457,409,0.895,3.15,"$44,780 ",$930 ,"$2,080 "
31,32,"Kochetkov, Pyotr",24,Stnd,UFA,"$2,000,000 ",42,2371,1031,939,0.911,2.33,"$47,619 ",$843 ,"$2,129 "
32,33,"Georgiev, Alexandar",27,Stnd,UFA,"$3,400,000 ",63,3637,1770,1587,0.897,3.02,"$53,968 ",$934 ,"$2,142 "
33,34,"Reimer, James",35,35+,UFA,"$1,500,000 ",25,1352,727,657,0.904,3.11,"$60,000 ","$1,109 ","$2,283 "
34,35,"Sorokin, Ilya",28,Stnd,UFA,"$4,000,000 ",56,3325,1821,1654,0.908,3.01,"$71,428 ","$1,203 ","$2,418 "
35,36,"Mrázek, Petr",31,Stnd,UFA,"$3,800,000 ",56,3152,1724,1564,0.907,3.05,"$67,857 ","$1,205 ","$2,429 "
36,37,"Greaves, Jet",22,ELC,RFA,"$758,333 ",9,515,327,297,0.908,3.5,"$84,259 ","$1,472 ","$2,553 "
37,38,"DeSmith, Casey",32,Stnd,UFA,"$1,800,000 ",29,1663,759,679,0.895,2.89,"$62,068 ","$1,082 ","$2,650 "
38,39,"Kähkönen, Kaapo",27,Stnd,UFA,"$2,750,000 ",37,1913,1139,1023,0.898,3.64,"$74,324 ","$1,437 ","$2,688 "
39,40,"Vejmelka, Karel",27,Stnd,UFA,"$2,725,000 ",38,2040,1089,975,0.895,3.35,"$71,710 ","$1,335 ","$2,794 "
40,41,"Swayman, Jeremy",25,Stnd,RFA,"$3,475,000 ",44,2565,1287,1179,0.916,2.53,"$78,977 ","$1,354 ","$2,947 "
41,42,"Korpisalo, Joonas",29,Stnd,UFA,"$4,000,000 ",55,3080,1522,1354,0.89,3.27,"$72,727 ","$1,298 ","$2,954 "
42,43,"Saros, Juuse",28,Stnd,UFA,"$5,000,000 ",64,3624,1845,1672,0.906,2.86,"$78,125 ","$1,379 ","$2,990 "
43,44,"Oettinger, Jake",25,Stnd,RFA,"$4,000,000 ",54,3084,1476,1336,0.905,2.72,"$74,074 ","$1,297 ","$2,994 "
44,45,"Brossoit, Laurent",30,Stnd,UFA,"$1,750,000 ",23,1351,620,575,0.927,2,"$76,086 ","$1,295 ","$3,043 "
45,46,"Gustavsson, Filip",25,Stnd,UFA,"$3,750,000 ",45,2526,1283,1154,0.9,3.06,"$83,333 ","$1,484 ","$3,249 "
46,47,"Raanta, Antti",34,Stnd,UFA,"$1,500,000 ",24,1265,493,430,0.872,2.99,"$62,500 ","$1,185 ","$3,488 "
47,48,"Prosvetov, Ivan",24,Stnd,UFA,"$775,000 ",11,494,248,222,0.895,3.16,"$70,454 ","$1,568 ","$3,490 "
48,49,"Varlamov, Semyon",35,35+,UFA,"$2,750,000 ",28,1594,837,768,0.918,2.6,"$98,214 ","$1,725 ","$3,580 "
49,50,"Lankinen, Kevin",28,Stnd,UFA,"$2,000,000 ",24,1191,610,554,0.908,2.82,"$83,333 ","$1,679 ","$3,610 "
50,51,"Demko, Thatcher",28,Stnd,UFA,"$5,000,000 ",51,3015,1492,1369,0.918,2.45,"$98,039 ","$1,658 ","$3,652 "
51,52,"Samsonov, Ilya",26,Stnd,UFA,"$3,550,000 ",40,2300,1087,967,0.89,3.13,"$88,750 ","$1,543 ","$3,671 "
52,53,"Binnington, Jordan",30,Stnd,UFA,"$6,000,000 ",57,3291,1786,1630,0.913,2.84,"$105,263 ","$1,823 ","$3,680 "
53,54,"Fleury, Marc-André",39,35+,UFA,"$3,500,000 ",40,2232,1056,945,0.895,2.98,"$87,500 ","$1,568 ","$3,703 "
54,55,"Hellebuyck, Connor",30,Stnd,UFA,"$6,166,667 ",60,3567,1798,1656,0.921,2.39,"$102,777 ","$1,728 ","$3,723 "
55,56,"Chrona, Magnus",23,ELC,RFA,"$867,500 ",9,471,262,225,0.859,4.71,"$96,388 ","$1,841 ","$3,855 "
56,57,"Shesterkin, Igor",28,Stnd,UFA,"$5,666,667 ",55,3277,1606,1465,0.912,2.58,"$103,030 ","$1,729 ","$3,868 "
57,58,"Allen, Jake",33,Stnd,UFA,"$3,850,000 ",34,1986,1087,973,0.895,3.44,"$113,235 ","$1,938 ","$3,956 "
58,59,"Forsberg, Anton",31,Stnd,UFA,"$2,750,000 ",30,1569,765,681,0.89,3.21,"$91,666 ","$1,752 ","$4,038 "
59,60,"Vladar, Daniel",26,Stnd,UFA,"$2,200,000 ",20,1128,574,506,0.882,3.62,"$110,000 ","$1,950 ","$4,347 "
60,61,"Jarry, Tristan",28,Stnd,UFA,"$5,375,000 ",51,2740,1369,1236,0.903,2.91,"$105,392 ","$1,961 ","$4,348 "
61,62,"Patera, Jiri",24,Stnd,UFA,"$775,000 ",6,316,196,175,0.893,3.99,"$129,166 ","$2,452 ","$4,428 "
62,63,"Vanecek, Vitek",27,Stnd,UFA,"$3,400,000 ",32,1791,862,767,0.89,3.18,"$106,250 ","$1,898 ","$4,432 "
63,64,"Ullmark, Linus",30,Stnd,UFA,"$5,000,000 ",40,2400,1207,1104,0.915,2.58,"$125,000 ","$2,083 ","$4,528 "
64,65,"Cooley, Devin",26,Stnd,UFA,"$775,000 ",6,301,192,167,0.87,4.98,"$129,166 ","$2,574 ","$4,640 "
65,66,"Tomkins, Matt",29,Stnd,UFA,"$775,000 ",6,360,185,165,0.892,3.33,"$129,166 ","$2,152 ","$4,696 "
66,67,"Merzlikins, Elvis",29,Stnd,UFA,"$5,400,000 ",41,2258,1266,1136,0.897,3.45,"$131,707 ","$2,391 ","$4,753 "
67,68,"Markström, Jacob",33,Stnd,UFA,"$6,000,000 ",48,2831,1379,1248,0.905,2.78,"$125,000 ","$2,119 ","$4,807 "
68,69,"Gibson, John",30,Stnd,UFA,"$6,400,000 ",46,2561,1343,1192,0.888,3.54,"$139,130 ","$2,499 ","$5,369 "
69,70,"Hill, Adin",27,Stnd,UFA,"$4,900,000 ",35,1968,979,890,0.909,2.71,"$140,000 ","$2,489 ","$5,505 "
70,71,"Hart, Carter",25,Stnd,RFA,"$3,979,000 ",26,1455,727,659,0.907,2.8,"$153,038 ","$2,734 ","$6,037 "
71,72,"Kuemper, Darcy",33,Stnd,UFA,"$5,250,000 ",33,1866,940,837,0.89,3.31,"$159,090 ","$2,813 ","$6,272 "
72,73,"Bobrovsky, Sergei",35,Stnd,UFA,"$10,000,000 ",58,3414,1584,1449,0.915,2.37,"$172,413 ","$2,929 ","$6,901 "
73,74,"Grubauer, Philipp",32,Stnd,UFA,"$5,900,000 ",36,1996,941,846,0.899,2.86,"$163,888 ","$2,955 ","$6,973 "
74,75,"Vasilevskiy, Andrei",29,Stnd,UFA,"$9,500,000 ",52,3062,1477,1329,0.9,2.9,"$182,692 ","$3,102 ","$7,148 "
75,76,"Søgaard, Mads",23,ELC,RFA,"$925,000 ",6,281,135,116,0.859,4.06,"$154,166 ","$3,291 ","$7,974 "
76,77,"Comrie, Eric",28,Stnd,UFA,"$1,800,000 ",10,519,254,222,0.874,3.7,"$180,000 ","$3,468 ","$8,108 "
77,78,"Andersen, Frederik",34,Stnd,UFA,"$3,400,000 ",16,912,410,382,0.932,1.84,"$212,500 ","$3,728 ","$8,900 "
78,79,"Husso, Ville",28,Stnd,UFA,"$4,750,000 ",19,1012,556,496,0.892,3.56,"$250,000 ","$4,693 ","$9,576 "
79,80,"Copley, Pheonix",31,Stnd,UFA,"$1,500,000 ",8,436,177,154,0.87,3.17,"$187,500 ","$3,440 ","$9,740 "
80,81,"Sandström, Felix",26,Stnd,UFA,"$775,000 ",5,263,96,79,0.823,3.88,"$155,000 ","$2,946 ","$9,810 "
81,82,"Campbell, Jack",31,Stnd,UFA,"$5,000,000 ",5,266,157,137,0.873,4.51,"$1,000,000 ","$18,796 ","$36,496 "
82,83,"Petersen, Cal",29,Stnd,UFA,"$5,000,000 ",5,276,132,114,0.864,3.91,"$1,000,000 ","$18,115 ","$43,859 "
