,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
18,19,"Knight, Spencer",21,ELC,RFA,"$925,000 ",21,1168,627,565,0.901,3.18,"$44,047 ",$791 ,"$1,637 "
19,20,"Samsonov, Ilya",25,Stnd,RFA,"$1,800,000 ",42,2475,1184,1088,0.919,2.33,"$42,857 ",$727 ,"$1,654 "
20,21,"Lyon, Alex",30,Stnd,UFA,"$750,000 ",15,893,488,445,0.912,2.89,"$50,000 ",$839 ,"$1,685 "
21,22,"DeSmith, Casey",31,Stnd,UFA,"$1,800,000 ",38,2065,1142,1033,0.905,3.17,"$47,368 ",$871 ,"$1,742 "
22,23,"Wedgewood, Scott",30,Stnd,UFA,"$1,000,000 ",21,1126,603,552,0.915,2.72,"$47,619 ",$888 ,"$1,811 "
23,24,"Vejmelka, Karel",26,Stnd,UFA,"$2,725,000 ",50,2940,1670,1502,0.899,3.43,"$54,500 ",$926 ,"$1,814 "
24,25,"Hellberg, Magnus",31,Stnd,UFA,"$750,000 ",18,936,447,397,0.888,3.21,"$41,666 ",$801 ,"$1,889 "
25,26,"Reimer, James",34,Stnd,UFA,"$2,250,000 ",43,2538,1335,1188,0.89,3.48,"$52,325 ",$886 ,"$1,893 "
26,27,"Georgiev, Alexandar",26,Stnd,UFA,"$3,400,000 ",62,3700,1904,1748,0.918,2.53,"$54,838 ",$918 ,"$1,945 "
27,28,"Jones, Martin",32,Stnd,UFA,"$2,000,000 ",48,2625,1145,1014,0.886,2.99,"$41,666 ",$761 ,"$1,972 "
28,29,"Rittich, David",30,Stnd,UFA,"$900,000 ",21,1121,506,456,0.901,2.68,"$42,857 ",$802 ,"$1,973 "
29,30,"Søgaard, Mads",22,ELC,RFA,"$925,000 ",19,1047,524,466,0.889,3.32,"$48,684 ",$883 ,"$1,984 "
30,31,"Hutchinson, Michael",32,Stnd,UFA,"$750,000 ",16,755,432,378,0.875,4.29,"$46,875 ",$993 ,"$1,984 "
31,32,"Anderson, Craig",41,35+,UFA,"$1,500,000 ",26,1490,823,747,0.908,3.06,"$57,692 ","$1,006 ","$2,008 "
32,33,"Stolarz, Anthony",28,Stnd,UFA,"$950,000 ",19,820,494,443,0.897,3.73,"$50,000 ","$1,158 ","$2,144 "
33,34,"Söderblom, Arvid",23,ELC,RFA,"$883,750 ",15,835,453,405,0.894,3.45,"$58,916 ","$1,058 ","$2,182 "
34,35,"Tarasov, Daniil",23,Stnd,RFA,"$1,050,000 ",17,874,528,471,0.892,3.91,"$61,764 ","$1,201 ","$2,229 "
35,36,"Greiss, Thomas",36,35+,UFA,"$1,250,000 ",21,1089,626,560,0.895,3.64,"$59,523 ","$1,147 ","$2,232 "
36,37,"Schmid, Akira",22,ELC,RFA,"$850,833 ",18,901,408,376,0.922,2.13,"$47,268 ",$944 ,"$2,262 "
37,38,"Sorokin, Ilya",27,Stnd,UFA,"$4,000,000 ",62,3587,1838,1698,0.924,2.34,"$64,516 ","$1,115 ","$2,355 "
38,39,"Allen, Jake",32,Stnd,UFA,"$2,875,000 ",42,2450,1335,1190,0.891,3.55,"$68,452 ","$1,173 ","$2,415 "
39,40,"Halák, Jaroslav",37,35+,UFA,"$1,500,000 ",25,1453,680,614,0.903,2.73,"$60,000 ","$1,032 ","$2,442 "
40,41,"Oettinger, Jake",24,Stnd,RFA,"$4,000,000 ",62,3644,1776,1632,0.919,2.37,"$64,516 ","$1,097 ","$2,450 "
41,42,"Saros, Juuse",27,Stnd,UFA,"$5,000,000 ",64,3809,2099,1928,0.919,2.69,"$78,125 ","$1,312 ","$2,593 "
42,43,"Hart, Carter",24,Stnd,RFA,"$3,979,000 ",55,3163,1665,1510,0.907,2.94,"$72,345 ","$1,257 ","$2,635 "
43,44,"Kähkönen, Kaapo",26,Stnd,UFA,"$2,750,000 ",37,2106,1149,1014,0.883,3.85,"$74,324 ","$1,305 ","$2,712 "
44,45,"Jarry, Tristan",27,Stnd,UFA,"$3,500,000 ",47,2650,1414,1286,0.91,2.9,"$74,468 ","$1,320 ","$2,721 "
45,46,"Vanecek, Vitek",26,Stnd,UFA,"$3,400,000 ",52,2915,1333,1214,0.911,2.45,"$65,384 ","$1,166 ","$2,800 "
46,47,"Lankinen, Kevin",27,Stnd,UFA,"$1,500,000 ",19,1069,583,534,0.916,2.75,"$78,947 ","$1,403 ","$2,808 "
47,48,"Fleury, Marc-André",38,35+,UFA,"$3,500,000 ",46,2654,1367,1241,0.908,2.85,"$76,086 ","$1,318 ","$2,820 "
48,49,"Ersson, Samuel",23,ELC,RFA,"$859,167 ",12,644,327,294,0.899,3.07,"$71,597 ","$1,334 ","$2,922 "
49,50,"Hill, Adin",26,Stnd,UFA,"$2,175,000 ",27,1490,721,659,0.914,2.5,"$80,555 ","$1,459 ","$3,300 "
50,51,"Husso, Ville",27,Stnd,UFA,"$4,750,000 ",56,3220,1603,1436,0.896,3.11,"$84,821 ","$1,475 ","$3,307 "
51,52,"Källgren, Erik",26,Stnd,UFA,"$750,000 ",10,561,246,221,0.898,2.67,"$75,000 ","$1,336 ","$3,393 "
52,53,"Mrázek, Petr",30,Stnd,UFA,"$3,800,000 ",39,2165,1248,1116,0.894,3.66,"$97,435 ","$1,755 ","$3,405 "
53,54,"Raanta, Antti",33,Stnd,UFA,"$2,000,000 ",27,1561,644,586,0.91,2.23,"$74,074 ","$1,281 ","$3,412 "
54,55,"Hellebuyck, Connor",29,Stnd,UFA,"$6,166,667 ",64,3778,1964,1807,0.92,2.49,"$96,354 ","$1,632 ","$3,412 "
55,56,"Comrie, Eric",27,Stnd,UFA,"$1,800,000 ",19,1111,594,526,0.886,3.67,"$94,736 ","$1,620 ","$3,422 "
56,57,"Kuemper, Darcy",32,Stnd,UFA,"$5,250,000 ",57,3223,1674,1520,0.908,2.87,"$92,105 ","$1,628 ","$3,453 "
57,58,"Gibson, John",29,Stnd,UFA,"$6,400,000 ",53,3004,1983,1783,0.899,3.99,"$120,754 ","$2,130 ","$3,589 "
58,59,"Shesterkin, Igor",27,Stnd,UFA,"$5,666,667 ",58,3488,1719,1575,0.916,2.48,"$97,701 ","$1,624 ","$3,597 "
59,60,"Prosvetov, Ivan",23,Stnd,RFA,"$750,000 ",7,422,234,206,0.88,3.98,"$107,142 ","$1,777 ","$3,640 "
60,61,"Ullmark, Linus",29,Stnd,UFA,"$5,000,000 ",49,2882,1457,1366,0.938,1.89,"$102,040 ","$1,734 ","$3,660 "
61,62,"Binnington, Jordan",29,Stnd,UFA,"$6,000,000 ",61,3516,1826,1632,0.894,3.31,"$98,360 ","$1,706 ","$3,676 "
62,63,"Forsberg, Anton",30,Stnd,UFA,"$2,750,000 ",28,1471,817,737,0.902,3.26,"$98,214 ","$1,869 ","$3,731 "
63,64,"Woll, Joseph",24,Stnd,RFA,"$766,667 ",7,416,219,204,0.932,2.16,"$109,523 ","$1,842 ","$3,758 "
64,65,"Markström, Jacob",32,Stnd,UFA,"$6,000,000 ",59,3410,1542,1376,0.892,2.92,"$101,694 ","$1,759 ","$4,360 "
65,66,"Talbot, Cam",35,Stnd,UFA,"$3,666,667 ",36,1947,935,840,0.898,2.93,"$101,851 ","$1,883 ","$4,365 "
66,67,"Francouz, Pavel",32,Stnd,UFA,"$2,000,000 ",16,964,493,451,0.915,2.61,"$125,000 ","$2,074 ","$4,434 "
67,68,"Levi, Devon",21,ELC,RFA,"$925,000 ",7,429,222,201,0.905,2.94,"$132,142 ","$2,156 ","$4,601 "
68,69,"Hofer, Joel",22,ELC,RFA,"$795,000 ",6,317,179,162,0.905,3.22,"$132,500 ","$2,507 ","$4,907 "
69,70,"Stauber, Jaxson",23,ELC,RFA,"$883,750 ",6,363,191,174,0.911,2.81,"$147,291 ","$2,434 ","$5,079 "
70,71,"Campbell, Jack",30,Stnd,UFA,"$5,000,000 ",36,2026,1027,912,0.888,3.41,"$138,888 ","$2,467 ","$5,482 "
71,72,"Demko, Thatcher",27,Stnd,UFA,"$5,000,000 ",32,1878,1005,906,0.902,3.16,"$156,250 ","$2,662 ","$5,518 "
72,73,"Vasilevskiy, Andrei",28,Stnd,UFA,"$9,500,000 ",60,3596,1875,1716,0.915,2.65,"$158,333 ","$2,641 ","$5,536 "
73,74,"Blackwood, Mackenzie",26,Stnd,UFA,"$2,800,000 ",22,1125,563,503,0.893,3.2,"$127,272 ","$2,488 ","$5,566 "
74,75,"Silovs, Arturs",21,ELC,RFA,"$786,111 ",5,305,152,138,0.908,2.75,"$157,222 ","$2,577 ","$5,696 "
75,76,"Andersen, Frederik",33,Stnd,UFA,"$4,500,000 ",34,1984,849,767,0.903,2.48,"$132,352 ","$2,268 ","$5,867 "
76,77,"Quick, Jonathan",36,Stnd,UFA,"$5,800,000 ",41,2234,1080,953,0.882,3.41,"$141,463 ","$2,596 ","$6,086 "
77,78,"Daccord, Joey",26,Stnd,UFA,"$750,000 ",5,248,130,117,0.9,3.15,"$150,000 ","$3,024 ","$6,410 "
78,79,"Merzlikins, Elvis",28,Stnd,UFA,"$5,400,000 ",30,1560,889,779,0.876,4.23,"$180,000 ","$3,461 ","$6,931 "
79,80,"Grubauer, Philipp",31,Stnd,UFA,"$5,900,000 ",39,2065,930,832,0.895,2.85,"$151,282 ","$2,857 ","$7,091 "
80,81,"Nedeljkovic, Alex",26,Stnd,UFA,"$3,000,000 ",15,832,466,417,0.895,3.53,"$200,000 ","$3,605 ","$7,194 "
81,82,"Bobrovsky, Sergei",34,Stnd,UFA,"$10,000,000 ",50,2834,1466,1321,0.901,3.07,"$200,000 ","$3,528 ","$7,570 "
82,83,"Brossoit, Laurent",29,Stnd,UFA,"$2,325,000 ",11,636,317,294,0.927,2.17,"$211,363 ","$3,655 ","$7,908 "
83,84,"Varlamov, Semyon",34,Stnd,UFA,"$5,000,000 ",23,1334,689,629,0.913,2.7,"$217,391 ","$3,748 ","$7,949 "
84,85,"Murray, Matt",28,Stnd,UFA,"$6,250,000 ",26,1473,761,687,0.903,3.01,"$240,384 ","$4,243 ","$9,097 "
85,86,"Petersen, Cal",28,Stnd,UFA,"$5,000,000 ",10,543,257,223,0.868,3.76,"$500,000 ","$9,208 ","$22,421 "
