,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
21,22,"Daws, Nico",21,ELC,RFA,"$850,833 ",25,1271,617,551,0.893,3.12,"$34,033 ",$669 ,"$1,544 "
22,23,"Reimer, James",33,Stnd,UFA,"$2,250,000 ",48,2672,1450,1321,0.911,2.9,"$46,875 ",$842 ,"$1,703 "
23,24,"DeSmith, Casey",30,Stnd,UFA,"$1,250,000 ",26,1418,769,703,0.914,2.79,"$48,076 ",$881 ,"$1,778 "
24,25,"Nedeljkovic, Alex",25,Stnd,UFA,"$3,000,000 ",59,3230,1796,1618,0.901,3.31,"$50,847 ",$928 ,"$1,854 "
25,26,"Jones, Martin",31,Stnd,UFA,"$2,000,000 ",35,1997,1141,1027,0.9,3.43,"$57,142 ","$1,001 ","$1,947 "
26,27,"Samsonov, Ilya",24,Stnd,UFA,"$2,000,000 ",44,2361,1145,1026,0.896,3.02,"$45,454 ",$847 ,"$1,949 "
27,28,"Elliott, Brian",36,35+,UFA,"$900,000 ",19,1063,489,446,0.912,2.43,"$47,368 ",$846 ,"$2,017 "
28,29,"Källgren, Erik",25,Stnd,UFA,"$750,000 ",14,779,385,342,0.888,3.31,"$53,571 ",$962 ,"$2,192 "
29,30,"Jarry, Tristan",26,Stnd,UFA,"$3,500,000 ",58,3415,1711,1573,0.919,2.42,"$60,344 ","$1,024 ","$2,225 "
30,31,"Skinner, Stuart",23,Stnd,RFA,"$750,000 ",13,734,367,335,0.913,2.62,"$57,692 ","$1,021 ","$2,238 "
31,32,"Merzlikins, Elvis",27,Stnd,UFA,"$4,000,000 ",59,3320,1920,1742,0.907,3.22,"$67,796 ","$1,204 ","$2,296 "
32,33,"Dell, Aaron",32,Stnd,UFA,"$750,000 ",12,565,354,316,0.893,4.04,"$62,500 ","$1,327 ","$2,373 "
33,34,"Saros, Juuse",26,Stnd,UFA,"$5,000,000 ",67,3931,2107,1934,0.918,2.64,"$74,626 ","$1,271 ","$2,585 "
34,35,"Sorokin, Ilya",26,Stnd,UFA,"$4,000,000 ",52,3072,1643,1520,0.925,2.4,"$76,923 ","$1,302 ","$2,631 "
35,36,"Talbot, Cam",34,Stnd,UFA,"$3,666,667 ",49,2864,1488,1356,0.911,2.77,"$74,829 ","$1,280 ","$2,704 "
36,37,"Hammond, Andrew",33,Stnd,UFA,"$750,000 ",11,586,314,276,0.879,3.89,"$68,181 ","$1,279 ","$2,717 "
37,38,"Smith, Mike",39,35+,UFA,"$2,200,000 ",28,1579,874,800,0.915,2.81,"$78,571 ","$1,393 ","$2,750 "
38,39,"Demko, Thatcher",26,Stnd,UFA,"$5,000,000 ",64,3700,1967,1799,0.915,2.72,"$78,125 ","$1,351 ","$2,779 "
39,40,"Kuemper, Darcy",31,Stnd,UFA,"$4,500,000 ",57,3258,1754,1616,0.921,2.54,"$78,947 ","$1,381 ","$2,784 "
40,41,"Allen, Jake",31,Stnd,UFA,"$2,875,000 ",35,1947,1123,1016,0.905,3.3,"$82,142 ","$1,476 ","$2,829 "
41,42,"Hart, Carter",23,Stnd,RFA,"$3,979,000 ",45,2603,1441,1304,0.905,3.16,"$88,422 ","$1,528 ","$3,051 "
42,43,"Luukkonen, Ukko-Pekka",22,ELC,RFA,"$778,333 ",9,503,277,254,0.917,2.74,"$86,481 ","$1,547 ","$3,064 "
43,44,"Raanta, Antti",32,Stnd,UFA,"$2,000,000 ",28,1516,706,644,0.912,2.45,"$71,428 ","$1,319 ","$3,105 "
44,45,"Holtby, Braden",32,Stnd,UFA,"$2,000,000 ",24,1318,700,639,0.913,2.78,"$83,333 ","$1,517 ","$3,129 "
45,46,"Hellebuyck, Connor",28,Stnd,UFA,"$6,166,667 ",66,3903,2155,1962,0.91,2.97,"$93,434 ","$1,579 ","$3,143 "
46,47,"Georgiev, Alexandar",25,Stnd,RFA,"$2,425,000 ",33,1746,832,747,0.898,2.92,"$73,484 ","$1,388 ","$3,246 "
47,48,"Rittich, David",29,Stnd,UFA,"$1,250,000 ",17,822,431,382,0.886,3.58,"$73,529 ","$1,520 ","$3,272 "
48,49,"Johansson, Jonas",26,Stnd,UFA,"$750,000 ",11,486,264,226,0.856,4.69,"$68,181 ","$1,543 ","$3,318 "
49,50,"Primeau, Cayden",22,ELC,RFA,"$880,833 ",12,519,302,262,0.868,4.62,"$73,402 ","$1,697 ","$3,361 "
50,51,"Andersen, Frederik",32,Stnd,UFA,"$4,500,000 ",52,3070,1431,1320,0.922,2.17,"$86,538 ","$1,465 ","$3,409 "
51,52,"Koskinen, Mikko",33,Stnd,UFA,"$4,500,000 ",45,2628,1397,1261,0.903,3.11,"$100,000 ","$1,712 ","$3,568 "
52,53,"Francouz, Pavel",31,Stnd,UFA,"$2,000,000 ",21,1200,608,557,0.916,2.55,"$95,238 ","$1,666 ","$3,590 "
53,54,"Hill, Adin",25,Stnd,UFA,"$2,175,000 ",25,1375,648,587,0.906,2.66,"$87,000 ","$1,581 ","$3,705 "
54,55,"Markström, Jacob",31,Stnd,UFA,"$6,000,000 ",63,3695,1754,1617,0.922,2.22,"$95,238 ","$1,623 ","$3,710 "
55,56,"Shesterkin, Igor",26,Stnd,UFA,"$5,666,667 ",53,3070,1622,1516,0.935,2.07,"$106,918 ","$1,845 ","$3,737 "
56,57,"Martin, Spencer",26,Stnd,UFA,"$800,000 ",6,378,218,207,0.95,1.75,"$133,333 ","$2,116 ","$3,864 "
57,58,"Gibson, John",28,Stnd,UFA,"$6,400,000 ",56,3235,1789,1617,0.904,3.19,"$114,285 ","$1,978 ","$3,957 "
58,59,"Bérubé, Jean-François",30,Stnd,UFA,"$750,000 ",6,305,209,188,0.9,4.13,"$125,000 ","$2,459 ","$3,989 "
59,60,"Halák, Jaroslav",36,35+,UFA,"$1,500,000 ",17,796,400,361,0.903,2.94,"$88,235 ","$1,884 ","$4,155 "
60,61,"Lehner, Robin",30,Stnd,UFA,"$5,000,000 ",44,2546,1288,1168,0.907,2.83,"$113,636 ","$1,963 ","$4,280 "
61,62,"Blackwood, Mackenzie",25,Stnd,UFA,"$2,800,000 ",25,1399,731,652,0.892,3.39,"$112,000 ","$2,001 ","$4,294 "
62,63,"Brossoit, Laurent",28,Stnd,UFA,"$2,325,000 ",24,1281,588,526,0.895,2.9,"$96,875 ","$1,814 ","$4,420 "
63,64,"Fleury, Marc-André",37,Stnd,UFA,"$7,000,000 ",56,3283,1732,1573,0.908,2.91,"$125,000 ","$2,132 ","$4,450 "
64,65,"Grubauer, Philipp",30,Stnd,UFA,"$5,900,000 ",55,3111,1479,1315,0.889,3.16,"$107,272 ","$1,896 ","$4,486 "
65,66,"Sandström, Felix",24,Stnd,UFA,"$750,000 ",5,297,177,161,0.91,3.23,"$150,000 ","$2,525 ","$4,658 "
66,67,"Ullmark, Linus",28,Stnd,UFA,"$5,000,000 ",41,2330,1140,1045,0.917,2.45,"$121,951 ","$2,145 ","$4,784 "
67,68,"Greiss, Thomas",35,Stnd,UFA,"$3,600,000 ",31,1507,842,750,0.891,3.66,"$116,129 ","$2,388 ","$4,800 "
68,69,"Quick, Jonathan",35,Stnd,UFA,"$5,800,000 ",46,2685,1284,1168,0.91,2.59,"$126,086 ","$2,160 ","$4,965 "
69,70,"Korpisalo, Joonas",27,Stnd,UFA,"$2,800,000 ",22,1128,634,556,0.877,4.15,"$127,272 ","$2,482 ","$5,035 "
70,71,"Delia, Collin",27,Stnd,UFA,"$1,000,000 ",8,343,218,196,0.899,3.85,"$125,000 ","$2,915 ","$5,102 "
71,72,"Sawchenko, Zach",24,ELC,UFA,"$725,000 ",7,268,151,136,0.901,3.36,"$103,571 ","$2,705 ","$5,330 "
72,73,"Driedger, Chris",27,Stnd,UFA,"$3,500,000 ",27,1478,722,649,0.899,2.96,"$129,629 ","$2,368 ","$5,392 "
73,74,"Säteri, Harri",32,Stnd,UFA,"$750,000 ",6,298,157,136,0.866,4.23,"$125,000 ","$2,516 ","$5,514 "
74,75,"Vasilevskiy, Andrei",27,Stnd,UFA,"$9,500,000 ",63,3760,1868,1712,0.917,2.49,"$150,793 ","$2,526 ","$5,549 "
75,76,"Varlamov, Semyon",33,Stnd,UFA,"$5,000,000 ",31,1792,978,891,0.911,2.91,"$161,290 ","$2,790 ","$5,611 "
76,77,"Binnington, Jordan",28,Stnd,UFA,"$6,000,000 ",37,2144,1135,1023,0.901,3.13,"$162,162 ","$2,798 ","$5,865 "
77,78,"Daccord, Joey",25,Stnd,UFA,"$750,000 ",5,293,140,119,0.85,4.3,"$150,000 ","$2,559 ","$6,302 "
78,79,"Lindgren, Charlie",28,Stnd,UFA,"$750,000 ",5,246,118,113,0.958,1.22,"$150,000 ","$3,048 ","$6,637 "
79,80,"Bobrovsky, Sergei",33,Stnd,UFA,"$10,000,000 ",54,3082,1566,1429,0.913,2.67,"$185,185 ","$3,244 ","$6,997 "
80,81,"Mrázek, Petr",29,Stnd,UFA,"$3,800,000 ",20,1042,520,462,0.889,3.34,"$190,000 ","$3,646 ","$8,225 "
81,82,"Schmid, Akira",21,ELC,RFA,"$850,833 ",6,235,114,95,0.833,4.85,"$141,805 ","$3,620 ","$8,956 "
82,83,"Murray, Matt",27,Stnd,UFA,"$6,250,000 ",20,1181,640,580,0.906,3.05,"$312,500 ","$5,292 ","$10,775 "
83,84,"Khudobin, Anton",35,Stnd,UFA,"$3,333,333 ",9,462,231,203,0.879,3.64,"$370,370 ","$7,215 ","$16,420 "
84,85,"Bernier, Jonathan",33,Stnd,UFA,"$4,125,000 ",10,510,264,238,0.902,3.06,"$412,500 ","$8,088 ","$17,331 "
85,86,"Price, Carey",34,Stnd,UFA,"$10,500,000 ",5,297,148,130,0.878,3.64,"$2,100,000 ","$35,353 ","$80,769 "
