,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
10,10,Brayden Point,TBL,31,"Mar. 13, 1996",Canada,166 lbs - 75 kg,"5'10"" - 178 cm","C, RW",Right,79 - Round 3 - 2014 (TBL),,,,TBL,Standard (1-way),Yes,"Jul. 28, 2021",26,Yes,,M-NTC,8,RFA,UFA,2030,"$9,500,000 ",11.70%,"$9,500,000 ","$7,600,000 ","$3,000,000 ","$7,600,000 ","$4,600,000 ",$0 
11,11,Matthew Tkachuk,FLA,29,"Dec. 11, 1997",United States,202 lbs - 92 kg,"6'2"" - 188 cm",RW,Left,6 - Round 1 - 2016 (CGY),,,,CGY,Standard (1-way),,"Jul. 22, 2022",24,Yes,Yes,NMC,8,RFA,UFA,2030,"$9,500,000 ",11.50%,"$9,500,000 ","$8,750,000 ","$1,000,000 ","$8,750,000 ","$7,750,000 ",$0 
12,12,Seth Jones,CHI,32,"Oct. 3, 1994",United States,209 lbs - 95 kg,"6'4"" - 193 cm",RD,Right,4 - Round 1 - 2013 (NSH),,,,CHI,Standard (1-way),Yes,"Jul. 23, 2021",27,,,NMC,8,UFA,UFA,2030,"$9,500,000 ",11.70%,"$9,500,000 ","$7,500,000 ","$2,500,000 ","$7,500,000 ","$5,000,000 ",$0 
13,13,Darnell Nurse,EDM,32,"Feb. 4, 1995",Canada,221 lbs - 100 kg,"6'4"" - 193 cm",LD,Left,7 - Round 1 - 2013 (EDM),,,,EDM,Standard (1-way),Yes,"Aug. 6, 2021",27,,,"M-NTC, NMC",8,UFA,UFA,2030,"$9,250,000 ",11.30%,"$9,250,000 ","$7,200,000 ","$1,200,000 ","$7,200,000 ","$6,000,000 ",$0 
14,14,Roman Josi,NSH,37,"Jun. 1, 1990",Switzerland,201 lbs - 91 kg,"6'1"" - 185 cm",LD,Left,38 - Round 2 - 2008 (NSH),,,,NSH,Standard (1-way),Yes,"Oct. 29, 2019",30,,,NMC,8,UFA,UFA,2028,"$9,059,000 ",11.10%,"$9,059,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
15,15,Jake Guentzel,TBL,32,"Oct. 6, 1994",United States,180 lbs - 82 kg,"5'11"" - 180 cm","LW, RW",Left,77 - Round 3 - 2013 (PIT),,,,TBL,Standard (1-way),Yes,"Jun. 30, 2024",29,,,NMC,7,UFA,UFA,2031,"$9,000,000 ",10.20%,"$9,000,000 ","$7,957,895 ","$1,000,000 ","$7,957,895 ","$6,957,895 ",$0 
16,16,Dougie Hamilton,NJD,34,"Jun. 17, 1993",Canada,229 lbs - 104 kg,"6'6"" - 198 cm",RD,Right,9 - Round 1 - 2011 (BOS),,,,NJD,Standard (1-way),,"Jul. 28, 2021",28,,,"M-NTC, NMC",7,UFA,UFA,2028,"$9,000,000 ",11.00%,"$9,000,000 ","$5,250,000 ","$5,250,000 ","$5,250,000 ",$0 ,$0 
17,17,Timo Meier,NJD,30,"Oct. 8, 1996",Switzerland,210 lbs - 95 kg,"6'0"" - 183 cm","LW, RW",Left,9 - Round 1 - 2015 (SJS),,,,NJD,Standard (1-way),Yes,"Jun. 28, 2023",26,Yes,Yes,NMC,8,RFA,UFA,2031,"$8,800,000 ",10.50%,"$8,800,000 ","$7,200,000 ","$2,200,000 ","$7,200,000 ","$5,000,000 ",$0 
18,18,Dylan Larkin,DET,30,"Jul. 30, 1996",United States,198 lbs - 90 kg,"6'1"" - 185 cm",C,Left,15 - Round 1 - 2014 (DET),,,,DET,Standard (1-way),Yes,"Mar. 1, 2023",26,,,NTC,8,UFA,UFA,2031,"$8,700,000 ",10.50%,"$8,700,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
19,19,Sam Reinhart,FLA,31,"Nov. 6, 1995",Canada,194 lbs - 88 kg,"6'1"" - 185 cm",RW,Right,2 - Round 1 - 2014 (BUF),,,,FLA,Standard (1-way),Yes,"Jun. 30, 2024",28,,,M-NMC,8,UFA,UFA,2032,"$8,625,000 ",9.80%,"$8,625,000 ","$9,350,000 ","$1,000,000 ","$9,350,000 ","$8,350,000 ",$0 
