,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
32,33. Elias Lindholm,BOS,32,"Dec. 2, 1994",Sweden,195 lbs - 88 kg,"6'1"" - 185 cm","C, RW",Right,5 - Round 1 - 2013 (CAR),,,,BOS,Standard (1-way),,"Jul. 1, 2024",29,,,,7,UFA,UFA,2031,"$7,750,000",8.8%,"$7,750,000","$7,750,000","$7,750,000","$7,750,000",$0,$0
33,34. Juuse Saros,NSH,32,"Apr. 19, 1995",Finland,180 lbs - 82 kg,"5'11"" - 180 cm",G,Left,99 - Round 4 - 2013 (NSH),,,,NSH,Standard (1-way),✔,"Jul. 1, 2024",30,,,,8,UFA,UFA,2033,"$7,740,000",8.8%,"$7,740,000","$7,740,000","$7,740,000","$7,740,000",$0,$0
34,35. Morgan Rielly,TOR,33,"Mar. 9, 1994",Canada,219 lbs - 99 kg,"6'1"" - 185 cm",LD,Left,5 - Round 1 - 2012 (TOR),,,,TOR,Standard (1-way),✔,"Oct. 29, 2021",28,,,NMC,8,UFA,UFA,2030,"$7,500,000",9.2%,"$7,500,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
35,36. Noah Hanifin,VGK,30,"Jan. 25, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",LD,Left,5 - Round 1 - 2015 (CAR),,,,VGK,Standard (1-way),✔,"Apr. 11, 2024",27,,,NTC,8,UFA,UFA,2032,"$7,350,000",8.8%,"$7,350,000","$7,500,000","$2,000,000","$7,500,000","$5,500,000",$0
36,37. Brandon Montour,SEA,33,"Apr. 11, 1994",Canada,189 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,55 - Round 2 - 2014 (ANA),,,,SEA,Standard (1-way),,"Jul. 1, 2024",30,,,M-NTC,7,UFA,UFA,2031,"$7,142,857",8.1%,"$7,142,857","$7,000,000","$7,000,000","$7,000,000",$0,$0
37,38. Nazem Kadri,CGY,36,"Oct. 6, 1990",Canada,192 lbs - 87 kg,"6'0"" - 183 cm",C,Left,7 - Round 1 - 2009 (TOR),,,,CGY,Standard (1-way),,"Aug. 18, 2022",31,,,M-NTC,7,UFA,UFA,2029,"$7,000,000",8.5%,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
38,39. Gabriel Landeskog,COL,34,"Nov. 23, 1992",Sweden,215 lbs - 98 kg,"6'1"" - 185 cm","LW, C",Left,2 - Round 1 - 2011 (COL),,,,COL,Standard (1-way),✔,"Jul. 27, 2021",28,,,"M-NTC, NMC",8,UFA,UFA,2029,"$7,000,000",8.6%,"$7,000,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
39,40. Brady Skjei,NSH,33,"Mar. 26, 1994",United States,210 lbs - 95 kg,"6'3"" - 191 cm",LD,Left,28 - Round 1 - 2012 (NYR),,,,NSH,Standard (1-way),,"Jul. 1, 2024",30,,,,7,UFA,UFA,2031,"$7,000,000",8.0%,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
40,41. Hampus Lindholm,BOS,33,"Jan. 20, 1994",Sweden,208 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,6 - Round 1 - 2012 (ANA),,,,BOS,Standard (1-way),✔,"Mar. 20, 2022",28,,,M-NTC,8,UFA,UFA,2030,"$6,500,000",8.0%,"$6,500,000","$4,800,000","$4,800,000","$4,800,000",$0,$0
41,42. Tom Wilson,WSH,33,"Mar. 29, 1994",Canada,220 lbs - 100 kg,"6'4"" - 193 cm",RW,Right,16 - Round 1 - 2012 (WSH),,,,WSH,Standard (1-way),✔,"Aug. 4, 2023",30,,,M-NTC,7,UFA,UFA,2031,"$6,500,000",7.8%,"$6,500,000","$6,300,000","$4,300,000","$6,300,000","$2,000,000",$0
42,43. Brayden Schenn,STL,35,"Aug. 22, 1991",Canada,200 lbs - 91 kg,"6'1"" - 185 cm","C, LW",Left,5 - Round 1 - 2009 (LAK),,,,STL,Standard (1-way),✔,"Oct. 4, 2019",28,,,M-NTC,8,UFA,UFA,2028,"$6,500,000",8.0%,"$6,500,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
43,44. Colton Parayko,STL,34,"May 12, 1993",Canada,230 lbs - 104 kg,"6'6"" - 198 cm",RD,Right,86 - Round 3 - 2012 (STL),,,,STL,Standard (1-way),✔,"Sep. 1, 2021",29,,,NTC,8,UFA,UFA,2030,"$6,500,000",8.0%,"$6,500,000","$4,800,000","$4,800,000","$4,800,000",$0,$0
44,45. Jaccob Slavin,CAR,33,"May 1, 1994",United States,207 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,120 - Round 4 - 2012 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 1, 2024",31,,,NMC,8,UFA,UFA,2033,"$6,396,063",7.3%,"$6,396,063","$8,000,000","$1,000,000","$8,000,000","$7,000,000",$0
45,46. Joshua Morrissey,WPG,32,"Mar. 28, 1995",Canada,195 lbs - 88 kg,"6'0"" - 183 cm",LD,Left,13 - Round 1 - 2013 (WPG),,,,WPG,Standard (1-way),✔,"Sep. 12, 2019",25,✔,,M-NTC,8,RFA,UFA,2028,"$6,250,000",7.7%,"$6,250,000","$4,800,000","$4,800,000","$4,800,000",$0,$0
46,47. Damon Severson,CBJ,32,"Aug. 7, 1994",Canada,205 lbs - 93 kg,"6'2"" - 188 cm",RD,Right,60 - Round 2 - 2012 (NJD),,,,NJD,Standard (1-way),✔,"Jun. 9, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$6,250,000",7.6%,"$6,250,000","$5,100,000","$3,300,000","$5,100,000","$1,800,000",$0
47,48. Kris Letang,PIT,40,"Apr. 24, 1987",Canada,201 lbs - 91 kg,"6'0"" - 183 cm",RD,Right,62 - Round 3 - 2005 (PIT),,,,PIT,35+ (1-way),✔,"Jul. 7, 2022",35,,,"M-NTC, NMC",6,UFA,UFA,2028,"$6,100,000",7.4%,"$6,100,000","$4,800,000","$1,000,000","$4,800,000","$3,800,000",$0
48,49. Jonas Brodin,MIN,33,"Jul. 12, 1993",Sweden,194 lbs - 88 kg,"6'1"" - 185 cm",LD,Left,10 - Round 1 - 2011 (MIN),,,,MIN,Standard (1-way),✔,"Sep. 15, 2020",27,,,,7,UFA,UFA,2028,"$6,000,000",7.4%,"$6,000,000","$4,000,000","$4,000,000","$4,000,000",$0,$0
49,50. Tyler Toffoli,SJS,35,"Apr. 24, 1992",Canada,197 lbs - 89 kg,"6'0"" - 183 cm","RW, LW",Right,47 - Round 2 - 2010 (LAK),,,,SJS,Standard (1-way),,"Jul. 1, 2024",32,,,NMC,4,UFA,UFA,2028,"$6,000,000",6.8%,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
0,51. Gustav Forsling,FLA,31,"Jun. 12, 1996",Sweden,186 lbs - 84 kg,"6'0"" - 183 cm",LD,Left,126 - Round 5 - 2014 (VAN),,,,FLA,Standard (1-way),✔,"Mar. 7, 2024",28,,,NMC,8,UFA,UFA,2032,"$5,750,000",6.9%,"$5,750,000","$6,525,000","$1,000,000","$6,525,000","$5,525,000",$0
1,52. Adam Pelech,NYI,32,"Aug. 16, 1994",Canada,218 lbs - 99 kg,"6'3"" - 191 cm",LD,Left,65 - Round 3 - 2012 (NYI),,,,NYI,Standard (1-way),,"Aug. 6, 2021",26,✔,✔,M-NTC,8,RFA,UFA,2029,"$5,750,000",7.1%,"$5,750,000","$5,750,000","$5,750,000","$5,750,000",$0,$0
2,53. Vincent Trocheck,NYR,33,"Jul. 11, 1993",United States,183 lbs - 83 kg,"5'10"" - 178 cm","C, RW",Right,64 - Round 3 - 2011 (FLA),,,,NYR,Standard (1-way),,"Jul. 13, 2022",28,,,M-NTC,7,UFA,UFA,2029,"$5,625,000",6.8%,"$5,625,000","$4,500,000","$3,000,000","$4,500,000","$1,500,000",$0
3,54. Tyler Bertuzzi,CHI,32,"Feb. 24, 1995",Canada,200 lbs - 91 kg,"6'2"" - 188 cm","LW, RW",Left,58 - Round 2 - 2013 (DET),,,,CHI,Standard (1-way),,"Jul. 1, 2024",29,,,,4,UFA,UFA,2028,"$5,500,000",6.3%,"$5,500,000","$4,200,000","$4,200,000","$4,200,000",$0,$0
4,55. Jonathan Marchessault,NSH,36,"Dec. 27, 1990",Canada,180 lbs - 82 kg,"5'9"" - 175 cm","RW, LW",Right,,,,,NSH,Standard (1-way),,"Jul. 1, 2024",33,,,,5,UFA,UFA,2029,"$5,500,000",6.3%,"$5,500,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
5,56. Zach Hyman,EDM,35,"Jun. 9, 1992",Canada,211 lbs - 96 kg,"6'1"" - 185 cm","RW, LW",Right,123 - Round 5 - 2010 (FLA),,,,EDM,Standard (1-way),,"Jul. 28, 2021",29,,,M-NTC,7,UFA,UFA,2028,"$5,500,000",6.7%,"$5,500,000","$3,900,000","$2,650,000","$3,900,000","$1,250,000",$0
6,57. Sean Monahan,CBJ,32,"Oct. 12, 1994",Canada,202 lbs - 92 kg,"6'2"" - 188 cm","C, LW, RW",Left,6 - Round 1 - 2013 (CGY),,,,CBJ,Standard (1-way),,"Jul. 1, 2024",29,,,M-NTC,5,UFA,UFA,2029,"$5,500,000",6.3%,"$5,500,000","$5,200,000","$3,700,000","$5,200,000","$1,500,000",$0
7,58. Brett Pesce,NJD,32,"Nov. 15, 1994",United States,206 lbs - 93 kg,"6'3"" - 191 cm",RD,Right,66 - Round 3 - 2013 (CAR),,,,NJD,Standard (1-way),,"Jul. 1, 2024",29,,,M-NTC,6,UFA,UFA,2030,"$5,500,000",6.3%,"$5,500,000","$5,600,000","$3,100,000","$5,600,000","$2,500,000",$0
8,59. Joel Eriksson Ek,MIN,30,"Jan. 29, 1997",Sweden,210 lbs - 95 kg,"6'1"" - 185 cm",C,Left,20 - Round 1 - 2015 (MIN),,,,MIN,Standard (1-way),✔,"Jul. 2, 2021",24,✔,,"M-NTC, NMC",8,RFA,UFA,2029,"$5,250,000",6.4%,"$5,250,000","$4,500,000","$4,500,000","$4,500,000",$0,$0
9,60. Bryan Rust,PIT,35,"May 11, 1992",United States,192 lbs - 87 kg,"5'11"" - 180 cm","RW, LW",Right,80 - Round 3 - 2010 (PIT),,,,PIT,Standard (1-way),✔,"May 21, 2022",30,,,,6,UFA,UFA,2028,"$5,125,000",6.2%,"$5,125,000","$3,660,000","$3,660,000","$3,660,000",$0,$0
10,61. Ryan Nugent-Hopkins,EDM,34,"Apr. 12, 1993",Canada,184 lbs - 83 kg,"6'0"" - 183 cm","LW, C",Left,1 - Round 1 - 2011 (EDM),,,,EDM,Standard (1-way),✔,"Jun. 29, 2021",28,,,NMC,8,UFA,UFA,2029,"$5,125,000",6.3%,"$5,125,000","$3,750,000","$2,500,000","$3,750,000","$1,250,000",$0
11,62. J.T. Compher,DET,32,"Apr. 8, 1995",United States,190 lbs - 86 kg,"6'0"" - 183 cm","C, RW",Right,35 - Round 2 - 2013 (BUF),,,,DET,Standard (1-way),,"Jul. 1, 2023",28,,,M-NTC,5,UFA,UFA,2028,"$5,100,000",6.1%,"$5,100,000","$4,700,000","$4,700,000","$4,700,000",$0,$0
12,63. Rickard Rakell,PIT,34,"May 5, 1993",Sweden,196 lbs - 89 kg,"6'0"" - 183 cm","RW, LW",Right,30 - Round 1 - 2011 (ANA),,,,PIT,Standard (1-way),✔,"Jul. 11, 2022",29,,,M-NTC,6,UFA,UFA,2028,"$5,000,000",6.1%,"$5,000,000","$3,600,000","$3,600,000","$3,600,000",$0,$0
13,64. Dylan Strome,WSH,30,"Mar. 7, 1997",Canada,200 lbs - 91 kg,"6'3"" - 191 cm",C,Left,3 - Round 1 - 2015 (ARI),,,,WSH,Standard (1-way),✔,"Feb. 3, 2023",26,✔,,,5,RFA,UFA,2028,"$5,000,000",6.1%,"$5,000,000","$4,000,000","$2,000,000","$4,000,000","$2,000,000",$0
14,65. Ivan Barbashev,VGK,31,"Dec. 14, 1995",Russia,187 lbs - 85 kg,"6'0"" - 183 cm","LW, RW",Left,33 - Round 2 - 2014 (STL),,,,VGK,Standard (1-way),✔,"Jun. 28, 2023",27,,,M-NTC,5,UFA,UFA,2028,"$5,000,000",6.0%,"$5,000,000","$4,200,000","$4,200,000","$4,200,000",$0,$0
15,66. Nikita Zadorov,BOS,32,"Apr. 16, 1995",Russia,235 lbs - 107 kg,"6'6"" - 198 cm",LD/RD,Left,16 - Round 1 - 2013 (BUF),,,,BOS,Standard (1-way),,"Jul. 1, 2024",29,,,M-NTC,6,UFA,UFA,2030,"$5,000,000",5.7%,"$5,000,000","$5,500,000","$4,000,000","$5,500,000","$1,500,000",$0
16,67. Dylan DeMelo,WPG,34,"May 1, 1993",Canada,191 lbs - 87 kg,"6'0"" - 183 cm",RD,Right,179 - Round 6 - 2011 (SJS),,,,WPG,Standard (1-way),✔,"Jun. 25, 2024",31,,,,4,UFA,UFA,2028,"$4,900,000",5.6%,"$4,900,000","$4,100,000","$4,100,000","$4,100,000",$0,$0
17,68. Christopher Tanev,TOR,37,"Dec. 20, 1989",Canada,197 lbs - 89 kg,"6'2"" - 188 cm",RD,Right,,,,,TOR,Standard (1-way),,"Jul. 1, 2024",34,,,NMC,6,UFA,UFA,2030,"$4,500,000",5.1%,"$4,500,000","$3,600,000","$1,000,000","$3,600,000","$2,600,000",$0
18,69. Marcus Foligno,MIN,35,"Aug. 10, 1991",United States,224 lbs - 102 kg,"6'3"" - 191 cm","RW, LW",Left,104 - Round 4 - 2009 (BUF),,,,MIN,Standard (1-way),✔,"Sep. 29, 2023",32,,,M-NTC,4,UFA,UFA,2028,"$4,000,000",4.8%,"$4,000,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
19,70. Joonas Korpisalo,BOS,33,"Apr. 28, 1994",Finland,191 lbs - 87 kg,"6'3"" - 191 cm",G,Left,62 - Round 3 - 2012 (CBJ),,,,OTT,Standard (1-way),,"Jul. 1, 2023",29,,,M-NTC,5,UFA,UFA,2028,"$4,000,000",4.8%,"$4,000,000","$3,000,000","$3,000,000","$3,000,000",$0,$0
20,71. Joel Edmundson,LAK,34,"Jun. 28, 1993",Canada,224 lbs - 102 kg,"6'5"" - 196 cm",LD/RD,Left,46 - Round 2 - 2011 (STL),,,,LAK,Standard (1-way),,"Jul. 1, 2024",31,,,,4,UFA,UFA,2028,"$3,850,000",4.4%,"$3,850,000","$4,400,000","$2,900,000","$4,400,000","$1,500,000",$0
21,72. Max Domi,TOR,32,"Mar. 2, 1995",Canada,208 lbs - 94 kg,"5'10"" - 178 cm","C, RW",Left,12 - Round 1 - 2013 (ARI),,,,TOR,Standard (1-way),✔,"Jun. 30, 2024",29,,,M-NTC,4,UFA,UFA,2028,"$3,750,000",4.3%,"$3,750,000","$3,000,000","$1,500,000","$3,000,000","$1,500,000",$0
