,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,x_receieved,Team_y,y_receieved
22,"Jun. 7, 2013","Dallas Stars Acquire:Sergei Gonchar · $5,000,000$5,000,000$5,000,000Sum: $5,000,000$5,000,000$5,000,000Change: +$5,000,000Change: +$5,000,000Change: +$5,000,000","Ottawa Senators Acquire:2013 6th round pick (DAL - #161 - Chris Leblanc)Sum: $0$0$0Change: -$5,000,000Change: -$5,000,000Change: $0",Dallas Stars ,"Sergei Gonchar · $5,000,000$5,000,000$5,000,000Sum: $5,000,000$5,000,000$5,000,000Change: +$5,000,000Change: +$5,000,000Change: +$5,000,000",Ottawa Senators ,"2013 6th round pick (DAL - #161 - Chris Leblanc)Sum: $0$0$0Change: -$5,000,000Change: -$5,000,000Change: $0"
23,"Apr. 3, 2013","Nashville Predators Acquire:Filip Forsberg · $925,000$925,000$0Sum: $925,000$925,000$0Change: -$3,575,000Change: -$4,161,667Change: $0","Washington Capitals Acquire:Martin Erat · $4,500,000$4,500,000$5,500,000Michael Latta · $0$586,667$605,000 (AHL/JR)Sum: $4,500,000$5,086,667$6,105,000Change: +$3,575,000Change: +$4,161,667Change: +$6,105,000",Nashville Predators ,"Filip Forsberg · $925,000$925,000$0Sum: $925,000$925,000$0Change: -$3,575,000Change: -$4,161,667Change: $0",Washington Capitals ,"Martin Erat · $4,500,000$4,500,000$5,500,000Michael Latta · $0$586,667$605,000 (AHL/JR)Sum: $4,500,000$5,086,667$6,105,000Change: +$3,575,000Change: +$4,161,667Change: +$6,105,000"
24,"Apr. 3, 2013","Carolina Hurricanes Acquire:2013 7th round pick (PIT - #209 - Troy Josephs) [Conditional]**Conditions: Details unknown Result: Conditions not metSum: $0$0$0Change: -$2,100,000Change: -$2,100,000Change: -$2,100,000","Pittsburgh Penguins Acquire:Jussi Jokinen ($900,000 retained - 30%) · $2,100,000$2,100,000$2,100,000Sum: $2,100,000$2,100,000$2,100,000Change: +$2,100,000Change: +$2,100,000Change: +$2,100,000",Carolina Hurricanes ,"2013 7th round pick (PIT - #209 - Troy Josephs) [Conditional]**Conditions: Details unknown Result: Conditions not metSum: $0$0$0Change: -$2,100,000Change: -$2,100,000Change: -$2,100,000",Pittsburgh Penguins ,"Jussi Jokinen ($900,000 retained - 30%) · $2,100,000$2,100,000$2,100,000Sum: $2,100,000$2,100,000$2,100,000Change: +$2,100,000Change: +$2,100,000Change: +$2,100,000"
25,"Apr. 3, 2013","Anaheim Ducks Acquire:Matthew Lombardi · $3,500,000$3,500,000$3,500,000Sum: $3,500,000$3,500,000$3,500,000Change: +$3,500,000Change: +$2,812,500Change: +$3,500,000","Arizona Coyotes Acquire:Brandon McMillan · $0$687,500$732,500 (AHL/JR)Sum: $0$687,500$732,500Change: -$3,500,000Change: -$2,812,500Change: +$732,500",Anaheim Ducks ,"Matthew Lombardi · $3,500,000$3,500,000$3,500,000Sum: $3,500,000$3,500,000$3,500,000Change: +$3,500,000Change: +$2,812,500Change: +$3,500,000",Arizona Coyotes ,"Brandon McMillan · $0$687,500$732,500 (AHL/JR)Sum: $0$687,500$732,500Change: -$3,500,000Change: -$2,812,500Change: +$732,500"
26,"Apr. 3, 2013","Anaheim Ducks Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$612,500Change: -$625,000","Minnesota Wild Acquire:Jeff DesLauriers · $0$612,500$625,000 (AHL/JR)Sum: $0$612,500$625,000Change: $0Change: +$612,500Change: +$625,000",Anaheim Ducks ,"Future ConsiderationsSum: $0$0$0Change: $0Change: -$612,500Change: -$625,000",Minnesota Wild ,"Jeff DesLauriers · $0$612,500$625,000 (AHL/JR)Sum: $0$612,500$625,000Change: $0Change: +$612,500Change: +$625,000"
27,"Apr. 3, 2013",Columbus Blue Jackets Acquire:Patrick Killeen · $0$0$0 (AHL/JR)Sum: $0$0$0Change: $0Change: $0Change: $0,Pittsburgh Penguins Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: $0Change: $0,Columbus Blue Jackets ,Patrick Killeen · $0$0$0 (AHL/JR)Sum: $0$0$0Change: $0Change: $0Change: $0,Pittsburgh Penguins ,Future ConsiderationsSum: $0$0$0Change: $0Change: $0Change: $0
28,"Apr. 3, 2013","Boston Bruins Acquire:Rob Flick · $0$599,166$582,500 (AHL/JR)Sum: $0$599,166$582,500Change: $0Change: -$34,167Change: -$17,500","Chicago Blackhawks Acquire:Max Sauve · $0$633,333$600,000 (AHL/JR)Sum: $0$633,333$600,000Change: $0Change: +$34,167Change: +$17,500",Boston Bruins ,"Rob Flick · $0$599,166$582,500 (AHL/JR)Sum: $0$599,166$582,500Change: $0Change: -$34,167Change: -$17,500",Chicago Blackhawks ,"Max Sauve · $0$633,333$600,000 (AHL/JR)Sum: $0$633,333$600,000Change: $0Change: +$34,167Change: +$17,500"
29,"Apr. 3, 2013","Nashville Predators Acquire:2013 6th round pick (SJS - #171 - Tommy Veilleux)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: $0","San Jose Sharks Acquire:Scott Hannan · $1,000,000$1,000,000$1,000,000Sum: $1,000,000$1,000,000$1,000,000Change: +$1,000,000Change: +$1,000,000Change: +$1,000,000",Nashville Predators ,"2013 6th round pick (SJS - #171 - Tommy Veilleux)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: $0",San Jose Sharks ,"Scott Hannan · $1,000,000$1,000,000$1,000,000Sum: $1,000,000$1,000,000$1,000,000Change: +$1,000,000Change: +$1,000,000Change: +$1,000,000"
30,"Apr. 3, 2013","Calgary Flames Acquire:2013 5th round pick (CBJ - #135 - Eric Roy)Sum: $0$0$0Change: -$1,250,000Change: -$1,250,000Change: $0","Columbus Blue Jackets Acquire:Blake Comeau · $1,250,000$1,250,000$1,250,000Sum: $1,250,000$1,250,000$1,250,000Change: +$1,250,000Change: +$1,250,000Change: +$1,250,000",Calgary Flames ,"2013 5th round pick (CBJ - #135 - Eric Roy)Sum: $0$0$0Change: -$1,250,000Change: -$1,250,000Change: $0",Columbus Blue Jackets ,"Blake Comeau · $1,250,000$1,250,000$1,250,000Sum: $1,250,000$1,250,000$1,250,000Change: +$1,250,000Change: +$1,250,000Change: +$1,250,000"
31,"Apr. 3, 2013","Ottawa Senators Acquire:Cory Conacher · $871,250$871,250$817,5002013 4th round pick (PHI - #102 - Tobias Lindberg)Sum: $871,250$871,250$817,500Change: +$221,250Change: +$221,250Change: +$817,500","Tampa Bay Lightning Acquire:Ben Bishop · $650,000$650,000$650,000Sum: $650,000$650,000$650,000Change: -$221,250Change: -$221,250Change: +$650,000",Ottawa Senators ,"Cory Conacher · $871,250$871,250$817,5002013 4th round pick (PHI - #102 - Tobias Lindberg)Sum: $871,250$871,250$817,500Change: +$221,250Change: +$221,250Change: +$817,500",Tampa Bay Lightning ,"Ben Bishop · $650,000$650,000$650,000Sum: $650,000$650,000$650,000Change: -$221,250Change: -$221,250Change: +$650,000"
32,"Apr. 3, 2013","Edmonton Oilers Acquire:Jerred Smithson · $800,000$800,000$800,000Sum: $800,000$800,000$800,000Change: +$800,000Change: +$800,000Change: +$800,000","Florida Panthers Acquire:2013 4th round pick (EDM - #98 - Matt Buckles)Sum: $0$0$0Change: -$800,000Change: -$800,000Change: $0",Edmonton Oilers ,"Jerred Smithson · $800,000$800,000$800,000Sum: $800,000$800,000$800,000Change: +$800,000Change: +$800,000Change: +$800,000",Florida Panthers ,"2013 4th round pick (EDM - #98 - Matt Buckles)Sum: $0$0$0Change: -$800,000Change: -$800,000Change: $0"
33,"Apr. 3, 2013","Arizona Coyotes Acquire:2013 3rd round pick (FLA - #62 - Yan-Pavel Laplante)Sum: $0$0$0Change: $0Change: -$1,750,000Change: $0","San Jose Sharks Acquire:Raffi Torres · $0$1,750,000$1,750,000Sum: $0$1,750,000$1,750,000Change: $0Change: +$1,750,000Change: +$1,750,000",Arizona Coyotes ,"2013 3rd round pick (FLA - #62 - Yan-Pavel Laplante)Sum: $0$0$0Change: $0Change: -$1,750,000Change: $0",San Jose Sharks ,"Raffi Torres · $0$1,750,000$1,750,000Sum: $0$1,750,000$1,750,000Change: $0Change: +$1,750,000Change: +$1,750,000"
34,"Apr. 3, 2013","Arizona Coyotes Acquire:2014 7th round pick (NJD - #191 - Jared Fiegl)Sum: $0$0$0Change: -$1,850,000Change: -$1,850,000Change: $0","New Jersey Devils Acquire:Steve Sullivan · $1,850,000$1,850,000$1,850,000Sum: $1,850,000$1,850,000$1,850,000Change: +$1,850,000Change: +$1,850,000Change: +$1,850,000",Arizona Coyotes ,"2014 7th round pick (NJD - #191 - Jared Fiegl)Sum: $0$0$0Change: -$1,850,000Change: -$1,850,000Change: $0",New Jersey Devils ,"Steve Sullivan · $1,850,000$1,850,000$1,850,000Sum: $1,850,000$1,850,000$1,850,000Change: +$1,850,000Change: +$1,850,000Change: +$1,850,000"
35,"Apr. 3, 2013","Columbus Blue Jackets Acquire:Marián Gáborík · $7,500,000$7,500,000$7,500,000Blake Parlett · $0$537,500$540,000 (AHL/JR)Steven Delisle · $0$585,000$600,000 (AHL/JR)Sum: $7,500,000$8,622,500$8,640,000Change: +$1,826,667Change: +$2,949,167Change: +$8,640,000","New York Rangers Acquire:Derick Brassard · $3,200,000$3,200,000$3,300,000Derek Dorsett · $1,633,333$1,633,333$1,500,000John Moore · $840,000$840,000$810,0002014 6th round pick (CBJ - #167 - Chase Lang)Sum: $5,673,333$5,673,333$5,610,000Change: -$1,826,667Change: -$2,949,167Change: +$5,610,000",Columbus Blue Jackets ,"Marián Gáborík · $7,500,000$7,500,000$7,500,000Blake Parlett · $0$537,500$540,000 (AHL/JR)Steven Delisle · $0$585,000$600,000 (AHL/JR)Sum: $7,500,000$8,622,500$8,640,000Change: +$1,826,667Change: +$2,949,167Change: +$8,640,000",New York Rangers ,"Derick Brassard · $3,200,000$3,200,000$3,300,000Derek Dorsett · $1,633,333$1,633,333$1,500,000John Moore · $840,000$840,000$810,0002014 6th round pick (CBJ - #167 - Chase Lang)Sum: $5,673,333$5,673,333$5,610,000Change: -$1,826,667Change: -$2,949,167Change: +$5,610,000"
36,"Apr. 3, 2013","Boston Bruins Acquire:Wade Redden · $1,000,000$1,000,000$1,000,000Sum: $1,000,000$1,000,000$1,000,000Change: +$1,000,000Change: +$1,000,000Change: +$1,000,000","St. Louis Blues Acquire:2014 6th round pick (BOS - #176 - Samuel Blais)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: $0",Boston Bruins ,"Wade Redden · $1,000,000$1,000,000$1,000,000Sum: $1,000,000$1,000,000$1,000,000Change: +$1,000,000Change: +$1,000,000Change: +$1,000,000",St. Louis Blues ,"2014 6th round pick (BOS - #176 - Samuel Blais)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: $0"
37,"Apr. 3, 2013","Colorado Avalanche Acquire:2014 4th round pick (EDM - #93 - Nick Magyar)Sum: $0$0$0Change: -$1,800,000Change: -$1,800,000Change: $0","Toronto Maple Leafs Acquire:Ryan O'Byrne · $1,800,000$1,800,000$2,000,000Sum: $1,800,000$1,800,000$2,000,000Change: +$1,800,000Change: +$1,800,000Change: +$2,000,000",Colorado Avalanche ,"2014 4th round pick (EDM - #93 - Nick Magyar)Sum: $0$0$0Change: -$1,800,000Change: -$1,800,000Change: $0",Toronto Maple Leafs ,"Ryan O'Byrne · $1,800,000$1,800,000$2,000,000Sum: $1,800,000$1,800,000$2,000,000Change: +$1,800,000Change: +$1,800,000Change: +$2,000,000"
