,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
39,"Feb. 23, 2012",Columbus Blue Jackets Acquire:Jack Johnson2013 1st round pick (LAK - #27 - Marko Dano),Los Angeles Kings Acquire:Jeff Carter,Columbus Blue Jackets ,Jack Johnson2013 1st round pick (LAK - #27 - Marko Dano),Los Angeles Kings ,Jeff Carter
40,"Feb. 22, 2012",Arizona Coyotes Acquire:Antoine Vermette,Columbus Blue Jackets Acquire:Curtis McElhinney2013 4th round pick (ARI - #103 - Justin Auger)2012 2nd round pick (OTT - #45 - Anthony Stolarz),Arizona Coyotes ,Antoine Vermette,Columbus Blue Jackets ,Curtis McElhinney2013 4th round pick (ARI - #103 - Justin Auger)2012 2nd round pick (OTT - #45 - Anthony Stolarz)
41,"Feb. 21, 2012",Colorado Avalanche Acquire:From TBL:Steve Downie,Detroit Red Wings Acquire:From COL:Kyle Quincey,Colorado Avalanche ,From TBL:Steve Downie,Detroit Red Wings ,From COL:Kyle Quincey
42,"Feb. 21, 2012",Chicago Blackhawks Acquire:Matt Fornataro,Tampa Bay Lightning Acquire:Brandon Segal,Chicago Blackhawks ,Matt Fornataro,Tampa Bay Lightning ,Brandon Segal
43,"Feb. 18, 2012",Philadelphia Flyers Acquire:Pavel Kubina,Tampa Bay Lightning Acquire:Jon Kalinski2013 4th round pick (PHI - #102 - Tobias Lindberg)2012 2nd round pick (FLA - #53 - Brian Hart),Philadelphia Flyers ,Pavel Kubina,Tampa Bay Lightning ,Jon Kalinski2013 4th round pick (PHI - #102 - Tobias Lindberg)2012 2nd round pick (FLA - #53 - Brian Hart)
44,"Feb. 17, 2012",Montreal Canadiens Acquire:Blake GeoffrionRobert Slaney2012 2nd round pick (NSH - #51 - Dalton Thrower),Nashville Predators Acquire:Hal Gill2013 5th round pick (MTL - #146 - Patrik Bartosak),Montreal Canadiens ,Blake GeoffrionRobert Slaney2012 2nd round pick (NSH - #51 - Dalton Thrower),Nashville Predators ,Hal Gill2013 5th round pick (MTL - #146 - Patrik Bartosak)
45,"Feb. 16, 2012",Anaheim Ducks Acquire:Ryan O'Marra,Edmonton Oilers Acquire:Bryan Rodney,Anaheim Ducks ,Ryan O'Marra,Edmonton Oilers ,Bryan Rodney
46,"Feb. 16, 2012",San Jose Sharks Acquire:Dominic Moore2012 7th round pick (TBL - #191 - Brandon Whitney),Tampa Bay Lightning Acquire:2012 2nd round pick (MIN - #37 - Pontus Åberg),San Jose Sharks ,Dominic Moore2012 7th round pick (TBL - #191 - Brandon Whitney),Tampa Bay Lightning ,2012 2nd round pick (MIN - #37 - Pontus Åberg)
47,"Feb. 16, 2012",Dallas Stars Acquire:2013 3rd round pick (MIN - #77 - Jake Guentzel)2012 2nd round pick (LAK - #61 - Devin Shore),Philadelphia Flyers Acquire:Nicklas Grossmann,Dallas Stars ,2013 3rd round pick (MIN - #77 - Jake Guentzel)2012 2nd round pick (LAK - #61 - Devin Shore),Philadelphia Flyers ,Nicklas Grossmann
48,"Feb. 13, 2012",Anaheim Ducks Acquire:Riley Holzapfel,Winnipeg Jets Acquire:Maxime Macenauer,Anaheim Ducks ,Riley Holzapfel,Winnipeg Jets ,Maxime Macenauer
49,"Feb. 3, 2012",Minnesota Wild Acquire:Erik Christensen2013 7th round pick (NYR - #200 - Alexandre Belanger),New York Rangers Acquire:Casey Wellman,Minnesota Wild ,Erik Christensen2013 7th round pick (NYR - #200 - Alexandre Belanger),New York Rangers ,Casey Wellman
50,"Feb. 2, 2012",Philadelphia Flyers Acquire:Matthew Ford,Washington Capitals Acquire:Kevin Marshall,Philadelphia Flyers ,Matthew Ford,Washington Capitals ,Kevin Marshall
51,"Feb. 2, 2012",Colorado Avalanche Acquire:Danny Richmond,Washington Capitals Acquire:Mike Carman,Colorado Avalanche ,Danny Richmond,Washington Capitals ,Mike Carman
52,"Jan. 30, 2012",Calgary Flames Acquire:Akim Aliu,Winnipeg Jets Acquire:John Negrin,Calgary Flames ,Akim Aliu,Winnipeg Jets ,John Negrin
53,"Jan. 27, 2012",Calgary Flames Acquire:Brian Connelly,Chicago Blackhawks Acquire:Brendan Morrison,Calgary Flames ,Brian Connelly,Chicago Blackhawks ,Brendan Morrison
54,"Jan. 26, 2012",Florida Panthers Acquire:Sean Sullivan,San Jose Sharks Acquire:Tim Kennedy,Florida Panthers ,Sean Sullivan,San Jose Sharks ,Tim Kennedy
55,"Jan. 21, 2012",Florida Panthers Acquire:Future Considerations,Tampa Bay Lightning Acquire:Jean-Francois Jacques,Florida Panthers ,Future Considerations,Tampa Bay Lightning ,Jean-Francois Jacques
56,"Jan. 20, 2012",Carolina Hurricanes Acquire:Joe Sova2012 4th round pick (NJD - #120 - Jaccob Slavin),New Jersey Devils Acquire:Alexei Ponikarovsky,Carolina Hurricanes ,Joe Sova2012 4th round pick (NJD - #120 - Jaccob Slavin),New Jersey Devils ,Alexei Ponikarovsky
57,"Jan. 18, 2012",Carolina Hurricanes Acquire:Evgeni DadonovA.J. Jenks,Florida Panthers Acquire:Jon MatsumotoMattias Lindstrom,Carolina Hurricanes ,Evgeni DadonovA.J. Jenks,Florida Panthers ,Jon MatsumotoMattias Lindstrom
58,"Jan. 13, 2012",Dallas Stars Acquire:Angelo Esposito,Florida Panthers Acquire:Ondrej Roman,Dallas Stars ,Angelo Esposito,Florida Panthers ,Ondrej Roman
59,"Jan. 12, 2012",Calgary Flames Acquire:Karri RamoMike Cammalleri2012 5th round pick (MTL - #124 - Ryan Culkin),Montreal Canadiens Acquire:Rene BourquePatrick Holland2013 2nd round pick (CGY - #36 - Zachary Fucale),Calgary Flames ,Karri RamoMike Cammalleri2012 5th round pick (MTL - #124 - Ryan Culkin),Montreal Canadiens ,Rene BourquePatrick Holland2013 2nd round pick (CGY - #36 - Zachary Fucale)
60,"Jan. 6, 2012",Calgary Flames Acquire:Blair Jones,Tampa Bay Lightning Acquire:Brendan Mikkelson,Calgary Flames ,Blair Jones,Tampa Bay Lightning ,Brendan Mikkelson
61,"Jan. 3, 2012",Anaheim Ducks Acquire:Luca Caputi,Toronto Maple Leafs Acquire:Nicolas Deschamps,Anaheim Ducks ,Luca Caputi,Toronto Maple Leafs ,Nicolas Deschamps
62,"Dec. 17, 2011",Arizona Coyotes Acquire:David Rundblad2012 2nd round pick (OTT - #45 - Anthony Stolarz),Ottawa Senators Acquire:Kyle Turris,Arizona Coyotes ,David Rundblad2012 2nd round pick (OTT - #45 - Anthony Stolarz),Ottawa Senators ,Kyle Turris
63,"Dec. 12, 2011",Anaheim Ducks Acquire:Mark FraserRod Pelley2012 7th round pick (NJD - #210 - Jaycob Megna),New Jersey Devils Acquire:Kurtis FosterTimo Pielmeier,Anaheim Ducks ,Mark FraserRod Pelley2012 7th round pick (NJD - #210 - Jaycob Megna),New Jersey Devils ,Kurtis FosterTimo Pielmeier
64,"Dec. 7, 2011",Carolina Hurricanes Acquire:Jaroslav Spacek,Montreal Canadiens Acquire:Tomas Kaberle,Carolina Hurricanes ,Jaroslav Spacek,Montreal Canadiens ,Tomas Kaberle
65,"Dec. 6, 2011",Dallas Stars Acquire:Jake Hauswirth2012 5th round pick (FLA - #144 - Henri Kiviaho),Florida Panthers Acquire:Krys Barch2012 6th round pick (DAL - #164 - Simon Fernholm),Dallas Stars ,Jake Hauswirth2012 5th round pick (FLA - #144 - Henri Kiviaho),Florida Panthers ,Krys Barch2012 6th round pick (DAL - #164 - Simon Fernholm)
66,"Dec. 2, 2011",Florida Panthers Acquire:James WrightMichael Vernace,Tampa Bay Lightning Acquire:Michael KostkaEvan Oberg,Florida Panthers ,James WrightMichael Vernace,Tampa Bay Lightning ,Michael KostkaEvan Oberg
67,"Dec. 2, 2011",Chicago Blackhawks Acquire:2013 7th round pick (OTT - #198 - John Gilmour),Ottawa Senators Acquire:Rob Klinkhammer,Chicago Blackhawks ,2013 7th round pick (OTT - #198 - John Gilmour),Ottawa Senators ,Rob Klinkhammer
68,"Nov. 10, 2011",Columbus Blue Jackets Acquire:Nikita Nikitin,St. Louis Blues Acquire:Kris Russell,Columbus Blue Jackets ,Nikita Nikitin,St. Louis Blues ,Kris Russell
69,"Nov. 8, 2011",New York Rangers Acquire:Francois Bouchard,Washington Capitals Acquire:Tomas Kundratek,New York Rangers ,Francois Bouchard,Washington Capitals ,Tomas Kundratek
70,"Nov. 8, 2011",Columbus Blue Jackets Acquire:Mark Letestu,Pittsburgh Penguins Acquire:2012 4th round pick (CBJ - #92 - Matia Marcantuoni),Columbus Blue Jackets ,Mark Letestu,Pittsburgh Penguins ,2012 4th round pick (CBJ - #92 - Matia Marcantuoni)
71,"Oct. 28, 2011",Arizona Coyotes Acquire:Cal O'Reilly,Nashville Predators Acquire:2012 4th round pick (ARI - #118 - Mikko Vainonen),Arizona Coyotes ,Cal O'Reilly,Nashville Predators ,2012 4th round pick (ARI - #118 - Mikko Vainonen)
72,"Oct. 23, 2011",Arizona Coyotes Acquire:Brock Trotter2012 7th round pick (MTL - #184 - Marek Langhamer),Montreal Canadiens Acquire:Petteri NokelainenGarrett Stafford,Arizona Coyotes ,Brock Trotter2012 7th round pick (MTL - #184 - Marek Langhamer),Montreal Canadiens ,Petteri NokelainenGarrett Stafford
73,"Oct. 22, 2011",Florida Panthers Acquire:Mikael SamuelssonMarco Sturm,Vancouver Canucks Acquire:David BoothSteven Reinprecht2013 3rd round pick (VAN - #85 - Cole Cassels),Florida Panthers ,Mikael SamuelssonMarco Sturm,Vancouver Canucks ,David BoothSteven Reinprecht2013 3rd round pick (VAN - #85 - Cole Cassels)
74,"Oct. 12, 2011",Dallas Stars Acquire:Eric Nystrom · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Minnesota Wild Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: $0Change: $0,Dallas Stars ,Eric Nystrom,Minnesota Wild ,Future Considerations
75,"Oct. 12, 2011",Los Angeles Kings Acquire:Stefan Legein2012 6th round pick (PHI - #171 - Tomas Hyka),Philadelphia Flyers Acquire:Future Considerations,Los Angeles Kings ,Stefan Legein2012 6th round pick (PHI - #171 - Tomas Hyka),Philadelphia Flyers ,Future Considerations
76,"Oct. 8, 2011",Anaheim Ducks Acquire:Kyle Cumiskey,Colorado Avalanche Acquire:Jake Newton2013 7th round pick (ANA - #207 - Emil Galimov),Anaheim Ducks ,Kyle Cumiskey,Colorado Avalanche ,Jake Newton2013 7th round pick (ANA - #207 - Emil Galimov)
77,"Oct. 4, 2011",New Jersey Devils Acquire:2012 4th round pick (TOR - #96 - Ben Thomson),Toronto Maple Leafs Acquire:David Steckel,New Jersey Devils ,2012 4th round pick (TOR - #96 - Ben Thomson),Toronto Maple Leafs ,David Steckel
78,"Sep. 9, 2011",Chicago Blackhawks Acquire:David Toews,New York Islanders Acquire:Future Considerations,Chicago Blackhawks ,David Toews,New York Islanders ,Future Considerations
79,"Sep. 8, 2011",Arizona Coyotes Acquire:Marc Cheverie,Florida Panthers Acquire:Justin Bernhardt,Arizona Coyotes ,Marc Cheverie,Florida Panthers ,Justin Bernhardt
80,"Aug. 29, 2011",Arizona Coyotes Acquire:Daymond Langkow,Calgary Flames Acquire:Lee Stempniak,Arizona Coyotes ,Daymond Langkow,Calgary Flames ,Lee Stempniak
81,"Aug. 7, 2011",Minnesota Wild Acquire:2013 3rd round pick (SJS - #81 - Kurtis Gabriel),San Jose Sharks Acquire:James Sheppard,Minnesota Wild ,2013 3rd round pick (SJS - #81 - Kurtis Gabriel),San Jose Sharks ,James Sheppard
82,"Jul. 29, 2011",New Jersey Devils Acquire:Trent Hunter,New York Islanders Acquire:Brian Rolston,New Jersey Devils ,Trent Hunter,New York Islanders ,Brian Rolston
83,"Jul. 15, 2011",Anaheim Ducks Acquire:Mathieu Carle,Montreal Canadiens Acquire:Mark Mitera,Anaheim Ducks ,Mathieu Carle,Montreal Canadiens ,Mark Mitera
84,"Jul. 14, 2011",Calgary Flames Acquire:Pierre-Luc Letourneau-Leblond,New Jersey Devils Acquire:2012 5th round pick (CGY - #135 - Graham Black),Calgary Flames ,Pierre-Luc Letourneau-Leblond,New Jersey Devils ,2012 5th round pick (CGY - #135 - Graham Black)
